county_fips,nfip_repetitive_loss,nfip_severe_repetitive_loss,nfip_total_properties,nfip_total_losses,nfip_mean_losses_per_property,nfip_mitigated_pct,nfip_insured_pct,nfip_most_recent_loss_year
05121,48,12,49,126,2.5714285714285716,0.02040816326530612,0.3673469387755102,2025
05123,1,0,1,2,2.0,0.0,0.0,1982
05125,36,8,39,124,3.1794871794871793,0.07692307692307693,0.1794871794871795,2025
05127,2,0,2,6,3.0,0.0,0.0,2020
05131,42,10,46,141,3.0652173913043477,0.021739130434782608,0.21739130434782608,2025
05133,2,0,2,4,2.0,0.0,0.5,2015
05135,15,2,15,39,2.6,0.0,0.2,2025
05139,12,0,12,33,2.75,0.0,0.4166666666666667,2024
05141,2,0,2,5,2.5,0.0,0.0,2013
05143,64,3,66,165,2.5,0.015151515151515152,0.36363636363636365,2025
05145,17,1,17,38,2.235294117647059,0.0,0.17647058823529413,2018
05147,15,3,15,40,2.6666666666666665,0.0,0.4666666666666667,2025
05149,1,0,1,2,2.0,0.0,0.0,1985
06001,13,2,13,26,2.0,0.0,0.3076923076923077,2023
06005,5,0,5,11,2.2,0.0,0.2,2017
06007,38,6,38,110,2.8947368421052633,0.0,0.3684210526315789,2025
06009,6,0,6,20,3.3333333333333335,0.0,0.6666666666666666,2023
06011,23,4,23,62,2.6956521739130435,0.0,0.17391304347826086,2019
06013,76,8,77,213,2.7662337662337664,0.0,0.37662337662337664,2025
06015,2,0,2,4,2.0,0.0,0.0,2019
06017,11,0,12,24,2.0,0.0,0.16666666666666666,2023
06019,4,1,5,11,2.2,0.0,0.6,2010
06021,22,2,22,55,2.5,0.0,0.13636363636363635,2024
06023,14,3,15,41,2.7333333333333334,0.06666666666666667,0.06666666666666667,2024
06025,13,0,13,28,2.1538461538461537,0.0,0.0,1986
06029,3,0,3,8,2.6666666666666665,0.0,0.0,2022
06033,159,24,166,502,3.0240963855421685,0.024096385542168676,0.24096385542168675,2023
06035,1,0,1,2,2.0,0.0,0.0,1995
06037,457,35,462,1274,2.757575757575758,0.004329004329004329,0.2012987012987013,2025
06039,2,1,2,9,4.5,0.0,0.5,2023
06041,230,28,232,688,2.9655172413793105,0.004310344827586207,0.3620689655172414,2024
06045,3,1,3,8,2.6666666666666665,0.0,0.0,2019
06047,20,2,20,53,2.65,0.0,0.75,2023
06051,1,0,1,2,2.0,0.0,0.0,1991
06053,123,8,126,297,2.357142857142857,0.007936507936507936,0.30158730158730157,2024
06055,94,20,114,337,2.956140350877193,0.09649122807017543,0.42105263157894735,2021
06057,3,0,3,7,2.3333333333333335,0.0,0.3333333333333333,2017
06059,100,9,103,257,2.495145631067961,0.0,0.30097087378640774,2024
06061,28,3,32,93,2.90625,0.125,0.4375,2018
06063,4,1,4,11,2.75,0.0,0.0,2017
06065,67,2,69,172,2.4927536231884058,0.014492753623188406,0.2898550724637681,2025
06067,180,33,197,548,2.781725888324873,0.06598984771573604,0.4263959390862944,2025
06069,17,6,17,58,3.411764705882353,0.0,0.47058823529411764,2023
06071,43,3,46,107,2.3260869565217392,0.0,0.32608695652173914,2025
06073,169,17,174,443,2.545977011494253,0.0,0.41954022988505746,2025
06077,11,2,11,26,2.3636363636363638,0.09090909090909091,0.5454545454545454,2023
06079,45,4,45,123,2.7333333333333334,0.0,0.28888888888888886,2023
06081,47,6,48,129,2.6875,0.0,0.4791666666666667,2023
06083,87,4,89,204,2.292134831460674,0.0,0.3595505617977528,2024
06085,31,7,32,109,3.40625,0.03125,0.375,2023
06087,121,14,128,381,2.9765625,0.03125,0.4921875,2023
06089,22,1,22,56,2.5454545454545454,0.0,0.4090909090909091,2025
06093,2,0,2,4,2.0,0.0,0.0,1997
06095,57,7,57,147,2.5789473684210527,0.0,0.2631578947368421,2023
06097,875,241,925,3352,3.6237837837837836,0.02810810810810811,0.31675675675675674,2025
06099,19,2,20,50,2.5,0.0,0.4,2023
06101,12,0,12,35,2.9166666666666665,0.0,0.08333333333333333,2025
06103,43,5,45,116,2.577777777777778,0.0,0.15555555555555556,2025
06107,15,1,15,35,2.3333333333333335,0.0,0.4,2023
06111,84,13,86,239,2.7790697674418605,0.011627906976744186,0.37209302325581395,2024
06113,30,5,30,80,2.6666666666666665,0.0,0.23333333333333334,2023
06115,11,0,11,23,2.090909090909091,0.0,0.09090909090909091,2019
08001,5,0,6,17,2.8333333333333335,0.0,0.16666666666666666,2015
08005,6,0,6,13,2.1666666666666665,0.0,0.6666666666666666,2024
08007,1,0,1,2,2.0,0.0,1.0,2022
08013,18,0,18,41,2.2777777777777777,0.0,0.5555555555555556,2022
08014,1,0,1,2,2.0,0.0,1.0,2023
08019,1,0,1,2,2.0,0.0,0.0,1983
08029,1,0,1,3,3.0,0.0,0.0,2001
08031,4,0,4,11,2.75,0.0,0.0,2018
08041,24,1,25,59,2.36,0.0,0.2,2020
08059,13,1,13,31,2.3846153846153846,0.0,0.3076923076923077,2023
08067,2,0,2,4,2.0,0.0,0.0,2023
08069,7,0,7,16,2.2857142857142856,0.0,0.42857142857142855,2022
08077,1,0,1,3,3.0,0.0,1.0,2001
08087,1,0,1,2,2.0,0.0,0.0,2015
08089,4,1,4,10,2.5,0.0,0.25,2021
08101,3,0,3,6,2.0,0.0,0.0,2016
08103,1,0,1,2,2.0,0.0,0.0,2000
08107,1,0,1,2,2.0,0.0,0.0,1984
08113,1,0,1,2,2.0,0.0,0.0,2016
08123,7,1,7,17,2.4285714285714284,0.0,0.14285714285714285,2024
08125,1,0,1,2,2.0,0.0,0.0,2014
09001,1292,159,1337,4112,3.075542258788332,0.031413612565445025,0.5482423335826477,2024
09003,159,20,161,499,3.099378881987578,0.006211180124223602,0.2795031055900621,2024
09005,41,4,41,116,2.8292682926829267,0.0,0.34146341463414637,2024
09007,263,20,270,695,2.574074074074074,0.014814814814814815,0.45185185185185184,2024
09009,1213,151,1292,3962,3.06656346749226,0.05804953560371517,0.4806501547987616,2024
09011,150,9,150,398,2.6533333333333333,0.0,0.43333333333333335,2024
09013,8,3,8,46,5.75,0.0,0.375,2023
09015,6,1,6,16,2.6666666666666665,0.0,0.5,2021
10001,41,8,42,134,3.1904761904761907,0.023809523809523808,0.11904761904761904,2025
10003,140,23,152,497,3.2697368421052633,0.07894736842105263,0.28289473684210525,2025
10005,304,23,307,877,2.8566775244299674,0.006514657980456026,0.36156351791530944,2025
11001,27,4,27,64,2.3703703703703702,0.0,0.4444444444444444,2023
12001,20,2,21,50,2.380952380952381,0.0,0.5714285714285714,2024
12003,18,3,19,45,2.3684210526315788,0.0,0.42105263157894735,2024
12005,637,86,685,1805,2.6350364963503647,0.01167883211678832,0.42043795620437957,2024
12007,17,3,17,45,2.6470588235294117,0.0,0.47058823529411764,2024
12009,293,21,298,712,2.389261744966443,0.006711409395973154,0.4865771812080537,2025
12011,1496,225,1513,4451,2.941837409120952,0.014540647719762063,0.6278916060806345,2025
12013,14,3,15,41,2.7333333333333334,0.0,0.0,2016
12015,1350,99,1363,3241,2.3778429933969187,0.011005135730007337,0.7916360968451944,2024
12017,1077,314,1109,3352,3.022542831379621,0.019837691614066726,0.6582506762849414,2024
12019,191,35,198,618,3.121212121212121,0.030303030303030304,0.5050505050505051,2024
12021,1335,145,1351,3179,2.3530717986676537,0.007401924500370096,0.8608438193930422,2024
12023,36,4,36,98,2.7222222222222223,0.0,0.3055555555555556,2024
12027,60,11,61,163,2.6721311475409837,0.0,0.4918032786885246,2024
12029,118,27,123,301,2.4471544715447155,0.008130081300813009,0.21138211382113822,2024
12031,593,106,608,1842,3.0296052631578947,0.02138157894736842,0.5411184210526315,2024
12033,1856,300,2141,6233,2.9112564222326016,0.1120971508640822,0.5516113965436712,2024
12035,283,41,283,733,2.590106007067138,0.0,0.784452296819788,2024
12037,123,22,162,492,3.037037037037037,0.15432098765432098,0.30246913580246915,2024
12039,1,0,1,2,2.0,0.0,0.0,1986
12041,38,6,38,115,3.026315789473684,0.0,0.13157894736842105,2024
12043,2,0,2,4,2.0,0.0,0.5,2012
12045,73,10,93,237,2.5483870967741935,0.021505376344086023,0.3225806451612903,2024
12047,16,2,16,42,2.625,0.0,0.0,2014
12049,22,3,22,50,2.272727272727273,0.0,0.36363636363636365,2022
12053,379,90,391,1164,2.976982097186701,0.010230179028132993,0.5831202046035806,2024
12055,12,0,12,27,2.25,0.0,0.25,2023
12057,976,223,1025,3216,3.137560975609756,0.03121951219512195,0.6936585365853658,2025
12059,22,5,22,53,2.409090909090909,0.0,0.09090909090909091,2021
12061,212,8,227,538,2.3700440528634363,0.01762114537444934,0.5154185022026432,2024
12063,5,0,5,13,2.6,0.0,0.0,2015
12067,33,4,33,87,2.6363636363636362,0.0,0.06060606060606061,2014
12069,31,3,31,81,2.6129032258064515,0.0,0.7741935483870968,2025
12071,4052,640,4102,10372,2.528522671867382,0.007313505607020965,0.7823013164310093,2024
12073,63,3,74,195,2.635135135135135,0.05405405405405406,0.3108108108108108,2024
12075,194,66,196,569,2.9030612244897958,0.0,0.4897959183673469,2024
12079,11,7,11,38,3.4545454545454546,0.0,0.18181818181818182,2013
