"Row,Issuer_Name,Issue_Date,lead_CUSIP,emma_security_details_url,prospectus_url"
"64,City of San Francisco CA Public Utilities Commission Water Revenue,2020-10-21,79771FAA5,https://emma.msrb.org/Security/Details/79771FAA5,https://emma.msrb.org/P11428776-P11108772-P11518438.pdf"
"65,Sunnyvale Financing Authority,2020-11-12,86754EAA4,https://emma.msrb.org/Security/Details/86754EAA4,https://emma.msrb.org/P21413204-P21094842-P21503807.pdf"
"66,City of Hampton VA,2020-12-02,4095587K3,https://emma.msrb.org/Security/Details/4095587K3,https://emma.msrb.org/P21416519-P21100709-P21510052.pdf"
"67,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,53746QAV2,https://emma.msrb.org/Security/Details/53746QAV2,https://emma.msrb.org/P21406465-P21093323-P21502152.pdf"
"68,City of Warren MI Water & Sewer System Revenue,2020-12-09,935349AA8,https://emma.msrb.org/Security/Details/935349AA8,https://emma.msrb.org/P11443793-P11119503-P11530007.pdf"
"69,City of Bloomington IN Sewage Works Revenue,2020-12-23,094725LV8,https://emma.msrb.org/Security/Details/094725LV8,https://emma.msrb.org/P31405898-P31093081-P31502131.pdf"
"70,City of Vallejo CA Water Revenue,2021-02-24,919259BT7,https://emma.msrb.org/Security/Details/919259BT7,https://emma.msrb.org/P31413949-P31099429-P31509183.pdf"
"71,Lancaster Power Authority,2021-04-01,513793BE8,https://emma.msrb.org/Security/Details/513793BE8,https://emma.msrb.org/P11533832-P11185464-P11602414.pdf"
"72,City of Mishawaka IN Waterworks Revenue,2021-05-19,604841DU7,https://emma.msrb.org/Security/Details/604841DU7,https://emma.msrb.org/P21460562-P21133535-P21546142.pdf"
"73,Buffalo Sewer Authority,2021-06-16,119732AT2,https://emma.msrb.org/Security/Details/119732AT2,NO OS SUBMITTED"
"74,City of Elkhart IN Sewage Works Revenue,2021-07-29,287605FJ3,https://emma.msrb.org/Security/Details/287605FJ3,https://emma.msrb.org/P21480325-P21147765-P21561430.pdf"
"75,City of Aurora CO Water Revenue,2021-09-09,051595BQ8,https://emma.msrb.org/Security/Details/051595BQ8,https://emma.msrb.org/P11525769-P11178196-P11594549.pdf"
"76,City of Tacoma WA Electric System Revenue,2021-09-14,873519PS5,https://emma.msrb.org/Security/Details/873519PS5,https://emma.msrb.org/P11528735-P21155952-P21570195.pdf"
"77,City of St Paul MN Sewer Revenue,2021-09-15,793071UC3,https://emma.msrb.org/Security/Details/793071UC3,https://emma.msrb.org/P11522928-P11177998-P11594334.pdf"
"78,City of Asheville NC Water System Revenue,2021-09-30,044074EA6,https://emma.msrb.org/Security/Details/044074EA6,https://emma.msrb.org/P11530517-P11183208-P11600029.pdf"
"79,City of Tampa FL,2021-10-07,875143AZ2,https://emma.msrb.org/Security/Details/875143AZ2,https://emma.msrb.org/P21496670-P21158908-P21573465.pdf"
"80,Lancaster Power Authority,2021-10-12,513793AP4,https://emma.msrb.org/Security/Details/513793AP4,https://emma.msrb.org/P11533832-P11185464-P11602414.pdf"
"81,Hudson Yards Infrastructure Corp,2021-10-27,44420RBK5,https://emma.msrb.org/Security/Details/44420RBK5,https://emma.msrb.org/P11539380-P11189325-P11606560.pdf"
