ID,Year,Row,CUSIP,Issuer Name,Yield at Issue,Amt Issued,Issue Date,Maturity,Tax Prov,Fin Typ,BICS Level 2,Self-reported Green,Mgmt of Proc,ESG Reporting,ESG Assurance Providers,Proj Sel Proc,ESG Framework,Industry,Industry_Full,Kestrel Total ESG Impact Score,ESG Project Categories,Project Subcategory,Jurisdiction_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,Entity_Type,Service_Function,Independence_Level,Geographic_Scope,State_Abb_Classified,State_Name,Classification_Confidence,Issue_Year,City_Name,County_Name,Is_Municipal,State_Year,City_State_Year,city_fips7,city_geo_name,city_name_crosswalk,city_match_method,panel_year,is_in_578_panel,cusip_duplicate_flag,included,cusip_repaired
2013-738,2014.0,738,849103AJ5,City of Spokane WA Water & Wastewater Revenue,2.31,8330000.0,2014-12-02,2023-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,4.2,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-739,2014.0,739,849103AK2,City of Spokane WA Water & Wastewater Revenue,2.41,8750000.0,2014-12-02,2024-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-740,2014.0,740,849103ACO,City of Spokane WA Water & Wastewater Revenue,0.72,6215000.0,2014-12-02,2017-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,0,0
2013-741,2014.0,741,849103AF3,City of Spokane WA Water & Wastewater Revenue,1.64,7200000.0,2014-12-02,2020-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-742,2014.0,742,849103AH9,City of Spokane WA Water & Wastewater Revenue,2.16,7935000.0,2014-12-02,2022-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-743,2014.0,743,849103AE6,City of Spokane WA Water & Wastewater Revenue,1.31,6855000.0,2014-12-02,2019-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-744,2014.0,744,849103AB2,City of Spokane WA Water & Wastewater Revenue,0.45,5920000.0,2014-12-02,2016-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-745,2014.0,745,849103ALO,City of Spokane WA Water & Wastewater Revenue,2.52,9185000.0,2014-12-02,2025-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,0,0
2013-746,2014.0,746,849103AR7,City of Spokane WA Water & Wastewater Revenue,3.21,11190000.0,2014-12-02,2030-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
2013-747,2014.0,747,849103AU0,City of Spokane WA Water & Wastewater Revenue,3.46,12590000.0,2014-12-02,2033-12-01,FED TAX-EXEMPT,NEW MONEY,Utilities,Yes,Yes,Yes,Yes,Yes,Yes,WTRSWR,Water/Sewer,--,Sustainable Water,Infastructure,CITY,Spokane WA,City of Spokane WA,Direct government,Water/Wastewater,INTEGRATED,Single city,WA,Washington,HIGH,2014.0,spokane,,True,WA_2014,spokane_WA_2014,5367000.0,spokane,Spokane,existing_city_name,2014.0,True,False,1,0
