Issuer_Name,State_Abb,Jurisdiction_Type,Entity_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,lat,lng,formatted_address,place_id,location_type,geo_source,match_method
Montgomery County Municipal Utility District No 119,TX,SPECIAL_DISTRICT,Special district,Montgomery County,Montgomery County,30.1432231,-95.4161437,"1710 Ashton Village Dr, Spring, TX 77386, USA",ChIJVVWZ3XQ2R4YR28mC3oef5NU,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
Montgomery County Municipal Utility District No 128A,TX,SPECIAL_DISTRICT,Special district,Montgomery County,Montgomery County,30.1432231,-95.4161437,"1710 Ashton Village Dr, Spring, TX 77386, USA",ChIJVVWZ3XQ2R4YR28mC3oef5NU,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
Montgomery County Municipal Utility District No 15,TX,SPECIAL_DISTRICT,Special district,Montgomery County,Montgomery County,30.1432231,-95.4161437,"1710 Ashton Village Dr, Spring, TX 77386, USA",ChIJVVWZ3XQ2R4YR28mC3oef5NU,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
Montgomery County Municipal Utility District No 94,TX,SPECIAL_DISTRICT,Special district,Montgomery County,Montgomery County,30.1432231,-95.4161437,"1710 Ashton Village Dr, Spring, TX 77386, USA",ChIJVVWZ3XQ2R4YR28mC3oef5NU,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
Montgomery County Municipal Utility District No 96,TX,SPECIAL_DISTRICT,Special district,Montgomery County,Montgomery County,30.1432231,-95.4161437,"1710 Ashton Village Dr, Spring, TX 77386, USA",ChIJVVWZ3XQ2R4YR28mC3oef5NU,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
Montgomery County School District Finance Corp,KY,SCHOOL_DISTRICT,School District Finance Corporation,Montgomery County Board of Education,Montgomery County School District,38.3172361,-84.56414699999999,"Scott County School District, KY, USA",ChIJFcUFGcI9QogRMZf5-FWA35g,APPROXIMATE,GoogleGeocodingAPI,FUZZY_ISSUER
Montgomery County Utility District No 3,TX,SPECIAL_DISTRICT,Special district,Montgomery County,Montgomery County,29.7554839,-95.3615297,"Norton Rose Fulbright, 1301 McKinney St # 5100, Houston, TX 77010, USA",ChIJ__-vXiO_QIYRrg5rFzl-qcU,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
Morenci Area Schools,MI,SCHOOL_DISTRICT,School district,Morenci,Morenci,41.7540082,-84.20679919999999,"Morenci Area Schools, MI, USA",ChIJ2bPVl5lVPIgRQTdyuWIRkVo,APPROXIMATE,GoogleGeocodingAPI,EXACT_ISSUER
Morgan County School District Finance Corp,KY,SCHOOL_DISTRICT,School district,Morgan County,Morgan County,38.3172361,-84.56414699999999,"Scott County School District, KY, USA",ChIJFcUFGcI9QogRMZf5-FWA35g,APPROXIMATE,GoogleGeocodingAPI,FUZZY_ISSUER
Morgantown Utility Board Inc,WV,CITY,Public utility,Morgantown,City of Morgantown,39.6304154,-79.9544476,"389 Spruce St, Morgantown, WV 26505, USA",ChIJf6rZH317NYgRKLehBhP4lT0,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
