pdf,txt,pages,chars,seconds,status,error
P21577992-P21218099-P21639675.pdf,P21577992-P21218099-P21639675.txt,0,0,0.0,error,EmptyFileError('Cannot read an empty file')
P21579687-P21219463-P21641161.pdf,P21579687-P21219463-P21641161.txt,116,328878,2.19,ok,
P21580179-P21219787-P21641518.pdf,P21580179-P21219787-P21641518.txt,558,1404553,16.21,ok,
P21664627-P21281129-P21709782.pdf,P21664627-P21281129-P21709782.txt,378,1055427,7.49,ok,
P21708810-P21314049-P21746321.pdf,P21708810-P21314049-P21746321.txt,326,584446,4.43,ok,
P21730348-P21329460-P21763134.pdf,P21730348-P21329460-P21763134.txt,77,220303,1.78,ok,
P21733144-P21331413-P21765253.pdf,P21733144-P21331413-P21765253.txt,436,1065414,11.19,ok,
P21755236-P31126687-P31539106.pdf,P21755236-P31126687-P31539106.txt,242,742672,2.97,ok,
P21755397-P11238816-P11662055.pdf,P21755397-P11238816-P11662055.txt,183,549764,3.25,ok,
P21760862-P21350101-P21789476.pdf,P21760862-P21350101-P21789476.txt,0,0,0.0,error,EmptyFileError('Cannot read an empty file')
P21769256-P21358222-P21795217.pdf,P21769256-P21358222-P21795217.txt,264,789112,6.0,ok,
P21806547-P21386275-P21826524.pdf,P21806547-P21386275-P21826524.txt,408,1102850,5.77,ok,
P21813485-P21391076-P21831848.pdf,P21813485-P21391076-P21831848.txt,290,785766,6.32,ok,
P21823145-P21397824-P21839203.pdf,P21823145-P21397824-P21839203.txt,378,656436,3.53,ok,
P21961290-P21496713-P21948923.pdf,P21961290-P21496713-P21948923.txt,122,334853,1.41,ok,
P22000843-P21524435-P21979770.pdf,P22000843-P21524435-P21979770.txt,2,1842,0.02,ok,
P22005262-P21527794-P21983577.pdf,P22005262-P21527794-P21983577.txt,6,8694,0.1,ok,
P31402850-P31090850-P31499586.pdf,P31402850-P31090850-P31499586.txt,312,682678,18.26,ok,
P31405868-P31093055-P31502104.pdf,P31405868-P31093055-P31502104.txt,170,498704,4.29,ok,
P31405898-P31093081-P31502131.pdf,P31405898-P31093081-P31502131.txt,109,318437,2.27,ok,
P31413949-P31099429-P31509183.pdf,P31413949-P31099429-P31509183.txt,366,1012012,9.52,ok,
P31413978-P31099449-P31509204.pdf,P31413978-P31099449-P31509204.txt,407,1002883,6.61,ok,
P31433916-P31114116-P31525247.pdf,P31433916-P31114116-P31525247.txt,195,548378,4.5,ok,
P31435196-P31115104-P31526400.pdf,P31435196-P31115104-P31526400.txt,225,616707,4.76,ok,
RE1330055-RE1036113-RE1443630.pdf,RE1330055-RE1036113-RE1443630.txt,100,340802,2.35,ok,
RE1353388-RE1052206-RE1461006.pdf,RE1353388-RE1052206-RE1461006.txt,194,484347,2.96,ok,
RE1353670-RE1052433-RE1461244.pdf,RE1353670-RE1052433-RE1461244.txt,92,333857,2.57,ok,
SS1383167-SS1076813-SS1484278.pdf,SS1383167-SS1076813-SS1484278.txt,433,933214,11.07,ok,
