FIPS,City,State,Year,applicable_election_year,county_fips_int,pres_dem_two_party_share,pres_dem_vote_share,pres_rep_vote_share,pres_dem_votes,pres_rep_votes,pres_total_votes
2758000,st. paul,MN,2023,2020,27123,0.7322592700244986,0.7149879889315723,0.2614257188903192,211620.0,77376.0,295977
2758000,st. paul,MN,2024,2020,27123,0.7322592700244986,0.7149879889315723,0.2614257188903192,211620.0,77376.0,295977
2758000,st. paul,MN,2025,2024,27123,0.7216363717036665,0.701980037766388,0.27078140454995053,195168.0,75284.0,278025
2771428,woodbury,MN,2013,2012,27163,0.5038251758289077,0.49392470432622965,0.48642468673707023,70203.0,69137.0,142133
2771428,woodbury,MN,2014,2012,27163,0.5038251758289077,0.49392470432622965,0.48642468673707023,70203.0,69137.0,142133
2771428,woodbury,MN,2015,2012,27163,0.5038251758289077,0.49392470432622965,0.48642468673707023,70203.0,69137.0,142133
2771428,woodbury,MN,2016,2012,27163,0.5038251758289077,0.49392470432622965,0.48642468673707023,70203.0,69137.0,142133
2771428,woodbury,MN,2017,2016,27163,0.5101053880195264,0.46511595659860644,0.4466876971608833,67086.0,64428.0,144235
2771428,woodbury,MN,2018,2016,27163,0.5101053880195264,0.46511595659860644,0.4466876971608833,67086.0,64428.0,144235
2771428,woodbury,MN,2019,2016,27163,0.5101053880195264,0.46511595659860644,0.4466876971608833,67086.0,64428.0,144235
2771428,woodbury,MN,2020,2016,27163,0.5101053880195264,0.46511595659860644,0.4466876971608833,67086.0,64428.0,144235
2771428,woodbury,MN,2021,2020,27163,0.5472629182036347,0.5346072212295996,0.4422673365870037,89165.0,73764.0,166786
2771428,woodbury,MN,2022,2020,27163,0.5472629182036347,0.5346072212295996,0.4422673365870037,89165.0,73764.0,166786
2771428,woodbury,MN,2023,2020,27163,0.5472629182036347,0.5346072212295996,0.4422673365870037,89165.0,73764.0,166786
2771428,woodbury,MN,2024,2020,27163,0.5472629182036347,0.5346072212295996,0.4422673365870037,89165.0,73764.0,166786
2771428,woodbury,MN,2025,2024,27163,0.5454512515474501,0.5327718006795017,0.44398239901849756,90324.0,75271.0,169536
2906652,blue springs,MO,2013,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
2906652,blue springs,MO,2014,2012,29095,0.4565085548337435,0.4479355015907166,0.5332848870476757,78283.0,93199.0,174764
