Issuer_Name,Issue_Date,n_CUSIPs,Self_reported_Green,Total_Face_Value,lead_CUSIP,all_CUSIPs,emma_search
City of Los Angeles Department of Airports,2025-04-10,2,Yes,85800000,5444452X6,5444452X6;5444452Z1,https://emma.msrb.org/Search/Search.aspx?criteria=5444452X6
City of Los Angeles Department of Airports,2025-04-21,1,Yes,46605000,5444456F1,5444456F1,https://emma.msrb.org/Search/Search.aspx?criteria=5444456F1
City of Los Angeles Department of Airports,2025-04-27,1,Yes,25000000,5444452T5,5444452T5,https://emma.msrb.org/Search/Search.aspx?criteria=5444452T5
City of Los Angeles Department of Airports,2025-05-29,1,Yes,20335000,5444455N5,5444455N5,https://emma.msrb.org/Search/Search.aspx?criteria=5444455N5
City of Los Angeles Department of Airports,2025-08-03,1,Yes,21770000,5444452G3,5444452G3,https://emma.msrb.org/Search/Search.aspx?criteria=5444452G3
City of Los Angeles Department of Airports,2025-09-22,2,Yes,66190000,5444452R9,5444452R9;5444455S4,https://emma.msrb.org/Search/Search.aspx?criteria=5444452R9
City of Los Angeles Department of Airports,2025-09-25,1,Yes,40260000,5444456C8,5444456C8,https://emma.msrb.org/Search/Search.aspx?criteria=5444456C8
City of Los Angeles Department of Airports,2025-10-22,1,Yes,22420000,5444455Q8,5444455Q8,https://emma.msrb.org/Search/Search.aspx?criteria=5444455Q8
City of Los Angeles Department of Airports,2025-11-07,1,Yes,39505000,5444452Q1,5444452Q1,https://emma.msrb.org/Search/Search.aspx?criteria=5444452Q1
City of Madison WI,2023-10-26,10,Yes,42055000,55844RYF5,55844RYF5;55844RYG3;55844RYH1;55844RYJ7;55844RYK4;55844RYL2;55844RYM0;55844RYN8;55844RYP3;55844RYQ1,https://emma.msrb.org/Search/Search.aspx?criteria=55844RYF5
City of Madison WI,2024-09-05,15,Yes,18205000,55844RA79,55844RA79;55844RA87;55844RA95;55844RB29;55844RB37;55844RB45;55844RB52;55844RB60;55844RB78;55844RB86;55844RB94;55844RC28;55844RC36;55844RC44;55844RC93,https://emma.msrb.org/Search/Search.aspx?criteria=55844RA79
City of Malden MA,2018-11-28,16,No,7180000,561076R28,561076R28;561076R36;561076R44;561076R51;561076R69;561076R77;561076R85;561076R93;561076S27;561076S35;561076S43;561076S50;561076S68;561076S76;561076S84;561076S92,https://emma.msrb.org/Search/Search.aspx?criteria=561076R28
City of Manchester NH Sewer Revenue,2024-06-01,10,Yes,23900000,562361AP0,562361AP0;562361AR6;562361AS4;562361AU9;562361AW5;562361AY1;562361BA2;562361BJ3;562361BL8;562361BM6,https://emma.msrb.org/Search/Search.aspx?criteria=562361AP0
