Issuer_Name,Issue_Date,n_CUSIPs,Self_reported_Green,Total_Face_Value,lead_CUSIP,all_CUSIPs,emma_security_details,emma_search,google_site_search
City & County of San Francisco CA Community Facilities District No 2014-1,2022-12-15,15,Yes,10960000,79772EEC9,79772EEC9;79772EED7;79772EEE5;79772EEF2;79772EEG0;79772EEH8;79772EEJ4;79772EEK1;79772EEL9;79772EEM7;79772EEN5;79772EEP0;79772EEQ8;79772EER6;79772EES4,https://emma.msrb.org/Security/Details/79772EEC9,https://emma.msrb.org/Search/Search.aspx?criteria=79772EEC9,https://www.google.com/search?q=site%3Aemma.msrb.org%2079772EEC9%20%22Official%20Statement%22
City of Albuquerque NM Refuse Removal & Disposal Revenue,2020-06-30,21,No,40570000,013630DT2,013630DT2;013630DU9;013630DV7;013630DW5;013630DX3;013630DY1;013630DZ8;013630EA2;013630EB0;013630EC8;013630ED6;013630EE4;013630EF1;013630EG9;013630EH7;013630EJ3;013630EK0;013630EL8;013630EM6;013630EN4;013630EP9,https://emma.msrb.org/Security/Details/013630DT2,https://emma.msrb.org/Search/Search.aspx?criteria=013630DT2,https://www.google.com/search?q=site%3Aemma.msrb.org%20013630DT2%20%22Official%20Statement%22
City of Arvada CO Wastewater Revenue,2025-07-09,1,Yes,325000,043257BQ6,043257BQ6,https://emma.msrb.org/Security/Details/043257BQ6,https://emma.msrb.org/Search/Search.aspx?criteria=043257BQ6,https://www.google.com/search?q=site%3Aemma.msrb.org%20043257BQ6%20%22Official%20Statement%22
City of Arvada CO Wastewater Revenue,2025-07-19,2,Yes,910000,043257BT0,043257BT0;043257CA0,https://emma.msrb.org/Security/Details/043257BT0,https://emma.msrb.org/Search/Search.aspx?criteria=043257BT0,https://www.google.com/search?q=site%3Aemma.msrb.org%20043257BT0%20%22Official%20Statement%22
City of Arvada CO Wastewater Revenue,2025-09-07,22,Yes,13320000,043257BG8,043257BG8;043257BH6;043257BJ2;043257BK9;043257BL7;043257BM5;043257BN3;043257BP8;043257BR4;043257BS2;043257BU7;043257BV5;043257BW3;043257BX1;043257BY9;043257BZ6;043257CB8;043257CC6;043257CD4;043257CE2;043257CF9;043257CG7,https://emma.msrb.org/Security/Details/043257BG8,https://emma.msrb.org/Search/Search.aspx?criteria=043257BG8,https://www.google.com/search?q=site%3Aemma.msrb.org%20043257BG8%20%22Official%20Statement%22
City of Arvada CO Water Revenue,2025-07-09,2,Yes,22515000,043260CL0,043260CL0;043260CU0,https://emma.msrb.org/Security/Details/043260CL0,https://emma.msrb.org/Search/Search.aspx?criteria=043260CL0,https://www.google.com/search?q=site%3Aemma.msrb.org%20043260CL0%20%22Official%20Statement%22
City of Arvada CO Water Revenue,2025-07-19,2,Yes,3250000,043260BZ0,043260BZ0;043260CC0,https://emma.msrb.org/Security/Details/043260BZ0,https://emma.msrb.org/Search/Search.aspx?criteria=043260BZ0,https://www.google.com/search?q=site%3Aemma.msrb.org%20043260BZ0%20%22Official%20Statement%22
City of Arvada CO Water Revenue,2025-09-07,19,Yes,59905000,043260BW7,043260BW7;043260BX5;043260BY3;043260CA4;043260CB2;043260CD8;043260CE6;043260CF3;043260CG1;043260CH9;043260CJ5;043260CK2;043260CM8;043260CN6;043260CP1;043260CQ9;043260CR7;043260CS5;043260CT3,https://emma.msrb.org/Security/Details/043260BW7,https://emma.msrb.org/Search/Search.aspx?criteria=043260BW7,https://www.google.com/search?q=site%3Aemma.msrb.org%20043260BW7%20%22Official%20Statement%22
City of Aurora CO Water Revenue,2021-09-09,15,Yes,153010000,051595BQ8,051595BQ8;051595BR6;051595BS4;051595BT2;051595BU9;051595BV7;051595BW5;051595BX3;051595BY1;051595BZ8;051595CA2;051595CB0;051595CC8;051595CD6;051595CE4,https://emma.msrb.org/Security/Details/051595BQ8,https://emma.msrb.org/Search/Search.aspx?criteria=051595BQ8,https://www.google.com/search?q=site%3Aemma.msrb.org%20051595BQ8%20%22Official%20Statement%22
City of Bend OR Sewer Revenue,2020-09-30,19,No,18645000,081647ER6,081647ER6;081647ES4;081647ET2;081647EU9;081647EV7;081647EW5;081647EX3;081647EY1;081647EZ8;081647FA2;081647FB0;081647FC8;081647FD6;081647FE4;081647FF1;081647FG9;081647FH7;081647FJ3;081647FK0,https://emma.msrb.org/Security/Details/081647ER6,https://emma.msrb.org/Search/Search.aspx?criteria=081647ER6,https://www.google.com/search?q=site%3Aemma.msrb.org%20081647ER6%20%22Official%20Statement%22
