year,fips7,city_name,state_dem_governor,state_dem_legislature,state_dem_trifecta,state_govt_trifecta,state_legis_control,state_rep_trifecta
2019,423620,flagstaff,0.0,0.0,0.0,Rep,Rep,1.0
2020,423620,flagstaff,0.0,0.0,0.0,Rep,Rep,1.0
2021,423620,flagstaff,0.0,0.0,0.0,Rep,Rep,1.0
2022,423620,flagstaff,0.0,0.0,0.0,Rep,Rep,1.0
2023,423620,flagstaff,1.0,0.0,0.0,Divided,Rep,0.0
2013,427400,gilbert,0.0,0.0,0.0,Rep,Rep,1.0
2014,427400,gilbert,0.0,0.0,0.0,Rep,Rep,1.0
2015,427400,gilbert,0.0,0.0,0.0,Rep,Rep,1.0
2016,427400,gilbert,0.0,0.0,0.0,Rep,Rep,1.0
2017,427400,gilbert,0.0,0.0,0.0,Rep,Rep,1.0
2018,427400,gilbert,0.0,0.0,0.0,Rep,Rep,1.0
2019,427400,gilbert,0.0,0.0,0.0,Rep,Rep,1.0
2020,427400,gilbert,0.0,0.0,0.0,Rep,Rep,1.0
2021,427400,gilbert,0.0,0.0,0.0,Rep,Rep,1.0
2022,427400,gilbert,0.0,0.0,0.0,Rep,Rep,1.0
2023,427400,gilbert,1.0,0.0,0.0,Divided,Rep,0.0
2013,427820,glendale,0.0,0.0,0.0,Rep,Rep,1.0
2014,427820,glendale,0.0,0.0,0.0,Rep,Rep,1.0
2015,427820,glendale,0.0,0.0,0.0,Rep,Rep,1.0
2016,427820,glendale,0.0,0.0,0.0,Rep,Rep,1.0
2017,427820,glendale,0.0,0.0,0.0,Rep,Rep,1.0
2018,427820,glendale,0.0,0.0,0.0,Rep,Rep,1.0
2019,427820,glendale,0.0,0.0,0.0,Rep,Rep,1.0
2020,427820,glendale,0.0,0.0,0.0,Rep,Rep,1.0
2021,427820,glendale,0.0,0.0,0.0,Rep,Rep,1.0
2022,427820,glendale,0.0,0.0,0.0,Rep,Rep,1.0
2023,427820,glendale,1.0,0.0,0.0,Divided,Rep,0.0
2013,439370,lake havasu city,0.0,0.0,0.0,Rep,Rep,1.0
2014,439370,lake havasu city,0.0,0.0,0.0,Rep,Rep,1.0
2015,439370,lake havasu city,0.0,0.0,0.0,Rep,Rep,1.0
2016,439370,lake havasu city,0.0,0.0,0.0,Rep,Rep,1.0
2017,439370,lake havasu city,0.0,0.0,0.0,Rep,Rep,1.0
2018,439370,lake havasu city,0.0,0.0,0.0,Rep,Rep,1.0
2019,439370,lake havasu city,0.0,0.0,0.0,Rep,Rep,1.0
2020,439370,lake havasu city,0.0,0.0,0.0,Rep,Rep,1.0
2021,439370,lake havasu city,0.0,0.0,0.0,Rep,Rep,1.0
