year,fips7,city_name,pres_dem_two_party_share,pres_dem_vote_share,pres_rep_vote_share
2015,3032800,great falls,0.4536438633588468,0.4406897349843768,0.5307545422983451
2016,3032800,great falls,0.3827773760492973,0.3521737872783547,0.567874808365393
2017,3032800,great falls,0.3827773760492973,0.3521737872783547,0.567874808365393
2018,3032800,great falls,0.3827773760492973,0.3521737872783547,0.567874808365393
2019,3032800,great falls,0.3827773760492973,0.3521737872783547,0.567874808365393
2020,3032800,great falls,0.3986484743751773,0.387514103046258,0.5845555973423593
2021,3032800,great falls,0.3986484743751773,0.387514103046258,0.5845555973423593
2022,3032800,great falls,0.3986484743751773,0.387514103046258,0.5845555973423593
2023,3032800,great falls,0.3986484743751773,0.387514103046258,0.5845555973423593
2013,3050200,missoula,0.5916792847357416,0.5739264232759826,0.3960693803329136
2014,3050200,missoula,0.5916792847357416,0.5739264232759826,0.3960693803329136
2015,3050200,missoula,0.5916792847357416,0.5739264232759826,0.3960693803329136
2016,3050200,missoula,0.5863774097001468,0.5327939462527237,0.3758255493809435
2017,3050200,missoula,0.5863774097001468,0.5327939462527237,0.3758255493809435
2018,3050200,missoula,0.5863774097001468,0.5327939462527237,0.3758255493809435
2019,3050200,missoula,0.5863774097001468,0.5327939462527237,0.3758255493809435
2020,3050200,missoula,0.6220159531734191,0.6064340163647808,0.3685152807888663
2021,3050200,missoula,0.6220159531734191,0.6064340163647808,0.3685152807888663
2022,3050200,missoula,0.6220159531734191,0.6064340163647808,0.3685152807888663
2023,3050200,missoula,0.6220159531734191,0.6064340163647808,0.3685152807888663
2013,3103950,bellevue,0.3816467288649762,0.3730731570849069,0.6044621625402155
2014,3103950,bellevue,0.3816467288649762,0.3730731570849069,0.6044621625402155
2015,3103950,bellevue,0.3816467288649762,0.3730731570849069,0.6044621625402155
2016,3103950,bellevue,0.3830900841806056,0.3478902953586498,0.5602258624968975
2017,3103950,bellevue,0.3830900841806056,0.3478902953586498,0.5602258624968975
2018,3103950,bellevue,0.3830900841806056,0.3478902953586498,0.5602258624968975
2019,3103950,bellevue,0.3830900841806056,0.3478902953586498,0.5602258624968975
2020,3103950,bellevue,0.4421956323442614,0.4306962256854076,0.5432985272751978
2021,3103950,bellevue,0.4421956323442614,0.4306962256854076,0.5432985272751978
2022,3103950,bellevue,0.4421956323442614,0.4306962256854076,0.5432985272751978
2023,3103950,bellevue,0.4421956323442614,0.4306962256854076,0.5432985272751978
2013,3119595,grand island,0.3615388499015499,0.3539967373572594,0.6251421226951407
2014,3119595,grand island,0.3615388499015499,0.3539967373572594,0.6251421226951407
2015,3119595,grand island,0.3615388499015499,0.3539967373572594,0.6251421226951407
2016,3119595,grand island,0.3036249395843403,0.284768812330009,0.6531278331822303
2017,3119595,grand island,0.3036249395843403,0.284768812330009,0.6531278331822303
2018,3119595,grand island,0.3036249395843403,0.284768812330009,0.6531278331822303
2019,3119595,grand island,0.3036249395843403,0.284768812330009,0.6531278331822303
2020,3119595,grand island,0.3217846669459572,0.3151308771641913,0.664191351440059
2021,3119595,grand island,0.3217846669459572,0.3151308771641913,0.664191351440059
2022,3119595,grand island,0.3217846669459572,0.3151308771641913,0.664191351440059
2023,3119595,grand island,0.3217846669459572,0.3151308771641913,0.664191351440059
2013,3128000,lincoln,0.4983165794823582,0.4869459385183149,0.4902359546150524
2014,3128000,lincoln,0.4983165794823582,0.4869459385183149,0.4902359546150524
2015,3128000,lincoln,0.4983165794823582,0.4869459385183149,0.4902359546150524
2016,3128000,lincoln,0.5012552030189658,0.4543872914265579,0.4521116111082563
2017,3128000,lincoln,0.5012552030189658,0.4543872914265579,0.4521116111082563
2018,3128000,lincoln,0.5012552030189658,0.4543872914265579,0.4521116111082563
2019,3128000,lincoln,0.5012552030189658,0.4543872914265579,0.4521116111082563
2020,3128000,lincoln,0.5400334678610099,0.5272116906163712,0.4490457489541357
2021,3128000,lincoln,0.5400334678610099,0.5272116906163712,0.4490457489541357
2022,3128000,lincoln,0.5400334678610099,0.5272116906163712,0.4490457489541357
2023,3128000,lincoln,0.5400334678610099,0.5272116906163712,0.4490457489541357
2013,3137000,omaha,0.4846045995010834,0.4754049310712866,0.5056112036511899
2014,3137000,omaha,0.4846045995010834,0.4754049310712866,0.5056112036511899
2015,3137000,omaha,0.4846045995010834,0.4754049310712866,0.5056112036511899
2016,3137000,omaha,0.5128923943661972,0.4733044132876934,0.4495098426588696
2017,3137000,omaha,0.5128923943661972,0.4733044132876934,0.4495098426588696
2018,3137000,omaha,0.5128923943661972,0.4733044132876934,0.4495098426588696
2019,3137000,omaha,0.5128923943661972,0.4733044132876934,0.4495098426588696
2020,3137000,omaha,0.5578663421258659,0.5468247069477834,0.4333826754585362
2021,3137000,omaha,0.5578663421258659,0.5468247069477834,0.4333826754585362
2022,3137000,omaha,0.5578663421258659,0.5468247069477834,0.4333826754585362
2023,3137000,omaha,0.5578663421258659,0.5468247069477834,0.4333826754585362
2013,3209700,carson,0.4536477848798765,0.4413139499978558,0.5314979201509499
2014,3209700,carson,0.4536477848798765,0.4413139499978558,0.5314979201509499
2015,3209700,carson,0.4536477848798765,0.4413139499978558,0.5314979201509499
2016,3209700,carson,0.4226962832636903,0.3841541413495363,0.5246642149024624
2017,3209700,carson,0.4226962832636903,0.3841541413495363,0.5246642149024624
2018,3209700,carson,0.4226962832636903,0.3841541413495363,0.5246642149024624
2019,3209700,carson,0.4226962832636903,0.3841541413495363,0.5246642149024624
2020,3209700,carson,0.4414517470881863,0.4282255623928175,0.5418137798849995
2021,3209700,carson,0.4414517470881863,0.4282255623928175,0.5418137798849995
2022,3209700,carson,0.4414517470881863,0.4282255623928175,0.5418137798849995
2023,3209700,carson,0.4414517470881863,0.4282255623928175,0.5418137798849995
2013,3231900,henderson,0.5742891269225274,0.5641516804351915,0.4181961544582531
2014,3231900,henderson,0.5742891269225274,0.5641516804351915,0.4181961544582531
2015,3231900,henderson,0.5742891269225274,0.5641516804351915,0.4181961544582531
