jurisdiction,state_abbr,state_name,jurisdiction_type,year,iecc_comm_vintage,iecc_comm_code_type,lag_model_code_yrs,no_statewide_code,home_rule,preemption_of_stricter_local,stretch_code_available,weakening_amendments,state_bps_adopted,state_bps_effective,state_bps_year_enacted,state_bps_first_compliance_year,state_bps_law_name,state_bps_law_id,state_bps_penalty_per_sqft,state_bps_penalty_per_tco2e,bps_adopted,bps_effective,bps_year_enacted,bps_first_compliance_year,years_since_bps,bps_metric,bps_covered_threshold_comm_sqft,bps_covered_threshold_public_sqft,bps_covered_threshold_mf_sqft,bps_covers_municipal,bps_ratchet,bps_penalty_per_sqft,bps_penalty_per_tco2e,bps_law_name,bps_law_id,bps_coalition_member,bps_coalition_launch_day,bps_coalition_joined_year,benchmarking_adopted,benchmarking_effective,benchmarking_year_enacted,benchmarking_first_reporting_year,years_since_benchmarking,benchmarking_threshold_sqft,audit_tuneup_req,any_policy_active,any_policy_effective
Atlanta,GA,Georgia,city,2025,2013,ASHRAE,9,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,1,2022,1,1,2015,2016,10,25000,1,1,1
Austin,TX,Texas,city,2010,2000,IECC,9,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,0,2008,2012,2,10000,1,1,0
Austin,TX,Texas,city,2011,2009,IECC,1,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,0,2008,2012,3,10000,1,1,0
Austin,TX,Texas,city,2012,2009,IECC,3,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,4,10000,1,1,1
Austin,TX,Texas,city,2013,2009,IECC,3,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,5,10000,1,1,1
Austin,TX,Texas,city,2014,2009,IECC,4,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,6,10000,1,1,1
Austin,TX,Texas,city,2015,2009,IECC,6,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,7,10000,1,1,1
Austin,TX,Texas,city,2016,2013,ASHRAE,2,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,8,10000,1,1,1
Austin,TX,Texas,city,2017,2013,ASHRAE,3,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,9,10000,1,1,1
Austin,TX,Texas,city,2018,2013,ASHRAE,3,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,10,10000,1,1,1
Austin,TX,Texas,city,2019,2013,ASHRAE,3,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,11,10000,1,1,1
Austin,TX,Texas,city,2020,2013,ASHRAE,6,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,12,10000,1,1,1
Austin,TX,Texas,city,2021,2013,ASHRAE,6,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,13,10000,1,1,1
Austin,TX,Texas,city,2022,2013,ASHRAE,6,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,14,10000,1,1,1
Austin,TX,Texas,city,2023,2013,ASHRAE,9,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,15,10000,1,1,1
Austin,TX,Texas,city,2024,2013,ASHRAE,9,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,16,10000,1,1,1
Austin,TX,Texas,city,2025,2013,ASHRAE,9,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,,1,1,2008,2012,17,10000,1,1,1
Berkeley,CA,California,city,2010,2008,TITLE24,1,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2015,2017,,25000,1,0,0
Berkeley,CA,California,city,2011,2008,TITLE24,2,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2015,2017,,25000,1,0,0
Berkeley,CA,California,city,2012,2008,TITLE24,4,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2015,2017,,25000,1,0,0
Berkeley,CA,California,city,2013,2008,TITLE24,4,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2015,2017,,25000,1,0,0
Berkeley,CA,California,city,2014,2013,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,0,0,2015,2017,,25000,1,0,0
Berkeley,CA,California,city,2015,2013,TITLE24,2,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,0,2015,2017,0,25000,1,1,0
Berkeley,CA,California,city,2016,2013,TITLE24,2,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,0,2015,2017,1,25000,1,1,0
Berkeley,CA,California,city,2017,2016,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2015,2017,2,25000,1,1,1
Berkeley,CA,California,city,2018,2016,TITLE24,0,0,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,0,2023,1,1,2015,2017,3,25000,1,1,1
