fips7,pct_college_educated,pct_nonwhite,median_home_value
1245025,50.777020862477954,65.30218446601943,532300
1245975,30.79851975443325,89.84447831426922,378200
1249450,20.682361138761696,90.80429044007083,303800
1250750,27.2819216182048,42.30914588057445,190400
1253000,41.651673510870616,65.82417510999616,332700
1254000,22.02237230406737,44.57547752092369,226200
1255775,36.08692440891894,75.91451968651744,379900
1255925,40.525680224043576,35.707282783625296,248100
1256975,23.649146959044202,34.64162543109911,225600
1257425,44.06461024800349,61.473209492107806,412000
1258050,30.062164282696603,60.104660524197165,293300
1258715,26.183500283749723,47.05966178985369,292900
1263000,40.562645779647376,36.41316711844931,289000
1269700,31.088792513124858,75.59631126308155,296100
1270600,49.8783052746627,50.53087123409278,256400
1270675,28.438840408223637,69.53672916259185,236500
1271000,43.25372671629321,55.94390484813565,333200
1276600,37.47525969995433,62.0548015103582,324800
1301052,22.11396516090936,80.98105214287787,111200
1301696,71.75859918018178,45.36458017121,562000
1303440,48.00016717515777,45.27598837943666,242300
1304000,57.278407304319465,61.09918801708842,395600
1304204,23.766277884724264,67.89474989460109,141900
1319000,28.420480842926132,61.620358602350265,168400
1349756,45.75831702544031,57.60177236222652,376400
1367284,63.353706315624514,37.98210628435916,479400
1369000,31.06153544808816,63.81426045005183,203300
1371492,57.57689422355588,56.21072982116965,380100
1901855,62.769073569482295,21.67509243190221,247500
1912000,32.856557288632885,21.492160170599362,167900
1916860,21.425716502480427,16.60443593425882,153400
1919000,28.548298493653686,27.65160476303131,155100
1921000,28.696973371662544,36.62860520538177,170700
1922395,33.106604316186946,13.590154261148113,178000
1938595,59.776161741193455,26.787574454445895,256600
1973335,22.545610886795274,35.988487053785576,149800
1982425,22.92562724014337,32.1934102533603,142000
1983910,53.79581151832461,20.88618643081578,266700
1608830,45.80617843072278,18.776474004235844,401800
1639700,29.842780206245322,22.017203318870372,266800
1652120,43.51628622723776,17.84069674319274,425800
1656260,21.386414851378905,32.04935768728435,289400
1664090,31.690537949701138,18.187762892792758,206200
1702154,59.42067927773,25.193374482381437,396500
1703012,35.21971460202062,66.74678206223643,241600
1705573,24.514432879064277,73.81179715680034,272900
1706613,46.99139851009907,27.28588109864446,190700
1707133,38.347124534546964,61.458884143447904,276400
1712385,51.75507102602529,43.28316107776323,191200
1714000,42.43244233073305,67.25535781071702,304500
1714351,11.435914539640187,92.06428393258025,224300
1718823,21.38572101308327,33.30327580133849,96800
1719642,38.10059198751779,40.65604872934245,304100
1720591,58.814295725297825,18.253460276822143,425000
1723074,26.673150152042297,62.4205271915229,242500
1724582,69.30794551869592,41.642373122918855,454600
1735411,48.7422438369948,50.65321583178726,330300
1738570,24.873258637583607,55.71924031926295,233800
1751089,47.08754539208951,35.9968678258084,367900
1751622,70.86211332554872,36.36150218996706,482600
1754820,29.255084538103404,34.3934795803347,250900
1754885,71.75972214913435,39.95616153360329,440500
1756640,43.22213334588058,20.517610763561578,337800
1757225,49.30683918669131,39.67987147256148,337200
1759000,37.504560379423566,45.07138181753852,146700
1765000,23.065090673575128,48.34956436057851,114100
1768003,49.03902474740079,45.04002784545771,303000
1770122,50.94942098092643,50.991412725863206,362500
1772000,34.72342454238649,30.324653720209426,147700
1775484,37.78334376956794,23.388098108725774,278300
1779293,21.458172367774107,80.78492760105105,164400
1781048,64.48279745481165,21.932815382035663,430600
1801468,16.08054751250329,27.630837468869863,101700
1805860,59.81984334203655,23.160266308887934,267900
1810342,73.67363044805457,23.20995847284647,425900
1820728,16.768390619980725,42.971088593474015,119300
1822000,22.407803478927395,23.258002155577984,121100
1825000,28.140627806848272,35.23480798747892,152500
1827000,14.37539517658748,90.25688498032862,81800
1829898,30.686090225563913,20.887399927649064,226500
1831000,15.212370326874144,65.64543222638584,129100
1840392,16.722016018753664,20.4202640507945,118400
1840788,27.841888265962783,27.795504602699495,145200
1849932,26.746849942726232,22.955264347040217,128200
1851876,25.05384657867123,20.588641490324854,88000
1871000,28.832881439487306,48.88925536455706,113800
1875428,23.112783644124914,20.99182579907507,99600
2036000,19.684225460588987,63.5803342811925,133800
2039350,55.96492112292727,23.102074890863868,348600
2052575,50.865744648615895,24.933504088267167,317900
2053775,62.50513829349933,24.41426508572474,361800
2064500,50.06984014367115,21.227704629752775,306800
2071000,28.460607200366717,33.91415080162302,124700
2079000,30.98829217058215,38.42773474495581,166400
2108902,30.983708493968408,34.22808592940526,215300
2146027,46.545586424760685,30.354897346829514,247900
2158620,25.56733353239773,18.354187840517167,151800
2205000,36.42206748794858,64.22128603104214,217700
2208920,23.871993167908144,43.42316304330565,187000
2239475,30.16597510373444,52.79471004028273,229000
2240735,39.97548253731702,40.50334412436527,234900
2241155,27.470097861544033,55.74184156253791,191200
2255000,40.73569986167718,69.19044815040694,281500
2270000,26.590537039685948,63.76736866416375,168900
2507000,53.365095199600965,55.81827328082649,684900
2509000,20.660258106241,70.96635565784572,364700
2513660,22.85757583411209,32.30821954870944,230700
2523000,15.843433815067776,29.45278626198765,328100
2529405,29.99913882190837,34.10729415961827,400900
2534550,14.971882481765372,86.95652173913044,370600
2537490,21.91336121638557,64.41338062452186,442800
2537875,43.579197320160276,55.855979713731415,570600
2539835,55.96425190957318,32.414005311912945,669600
2540710,30.748365747145144,42.034007422555476,439500
2545000,16.407007081625046,41.7213277678394,291300
2545560,80.35966624049526,26.591523181802767,1136200
2552490,34.877086795822684,19.8066563353258,508400
2555745,46.86510936558988,43.84290113981838,563200
2562535,67.18007320183501,31.28479817061046,860500
2567000,19.98606100360774,71.77231898522263,198500
2569170,22.913810221738924,26.277003836058952,359500
