epa,fiscal,beta,se,p,n
"Water violations (asinh, lag2)",Charges/own-source,0.02401410734373055,0.016847480238886273,0.15404659800217727,6251
NPDES inspections (lag2),Fiscal stress PCA (lag2),-0.0007711275572920161,0.0005480164516645403,0.1593903760275197,6278
NPDES formal prior3yr,Charges/own-source,0.07336155856275109,0.054300609111488325,0.17668696354479063,6241
Overflow events (lag2),Fiscal stress PCA (lag2),-8.694492023531174e-19,6.53780365830945e-19,0.1835579281981693,6278
NPDES formal prior3yr,TEL stringency,0.0009361522034743962,0.0007466448226278088,0.2099103634558428,6864
Consent decrees prior3yr,VFI (lag2),0.1320628319202909,0.10706062894701471,0.2173769269220125,6855
Consent decrees prior3yr,TEL stringency,0.0026488942212409784,0.0022683851444721035,0.2429098508636911,6864
NPDES formal prior3yr,Fiscal stress PCA (lag2),0.006086649451137926,0.005394987274979852,0.25923352243433195,6278
All EPA cases prior3yr,Budget flexibility squeeze (lag2),-0.21177496855968034,0.19355333591542168,0.27389239974841717,6840
NPDES inspections (lag2),VFI (lag2),0.005330594978100948,0.005215517242521152,0.3067503778437318,6855
"Water violations (asinh, lag2)",VFI (lag2),-0.008139785001641591,0.008295230018213515,0.32646409141232013,6867
"SDWA events (asinh, lag2)",VFI (lag2),0.029970491754728414,0.03156166491018422,0.34232303144133136,6867
"SDWA events (asinh, lag2)",TEL stringency,0.0003737326177528391,0.0003959882024270631,0.3452732129018897,6876
Consent decrees prior3yr,log CWSRF obligations (lag2),0.004485698480766625,0.00506594417928833,0.3759077809176441,6864
"Water violations (asinh, lag2)",TEL stringency,0.0001603443737487937,0.00018226946555331342,0.37901612685340536,6876
"SDWA events (asinh, lag2)",Expenditure rigidity (lag2),-0.18423290888829758,0.2145884594187701,0.3905940110443179,6855
NPDES inspections (lag2),TEL stringency,9.490967608431909e-05,0.00011335178879491278,0.4024228520956744,6864
"Water violations (asinh, lag2)",Capital stock pc (lag2),0.0018919106199672873,0.002351495698639398,0.42107578279256297,5729
Consent decrees prior3yr,Expenditure rigidity (lag2),0.4492993902286291,0.5776155839796964,0.43665631633193047,6843
"Water violations (asinh, lag2)",log CWSRF obligations (lag2),0.0005020335932702036,0.0006641795591356732,0.44972697087836966,6876
NPDES formal prior3yr,Expenditure rigidity (lag2),0.11023967168721188,0.15603345625030193,0.4798691456362225,6843
"Water violations (asinh, lag2)",Debt service burden (lag2),-0.02484308043684247,0.03728727241026817,0.5052438599011543,6855
All EPA cases prior3yr,VFI (lag2),-0.015550680184006519,0.024263869639677322,0.5215885628053936,6855
All EPA cases prior3yr,Capital stock pc (lag2),0.006199375197377453,0.010048143079300319,0.5372563279189547,5719
All EPA cases prior3yr,Debt service burden (lag2),-0.07322119691828782,0.12463471669321081,0.5568771038526968,6843
Consent decrees prior3yr,Budget flexibility squeeze (lag2),0.7379184025250645,1.2615517989488247,0.5585953672791135,6840
"SDWA events (asinh, lag2)",Charges/own-source,0.03749648043773014,0.06679479238058676,0.5745464753791758,6251
"Water violations (asinh, lag2)",Fiscal stress PCA (lag2),0.000677340991508896,0.001299649376346239,0.602246889768501,6289
NPDES inspections (lag2),Reserve ratio (lag2),0.0008713676886480479,0.0018703764870481934,0.6413026641499062,6855
NPDES formal prior3yr,Debt service burden (lag2),0.06296226585127071,0.14067046855773968,0.6544513237218134,6843
NPDES inspections (lag2),Capital stock pc (lag2),-7.880236692624597e-05,0.00018019651988994176,0.661884021743967,5719
Consent decrees prior3yr,Fiscal stress PCA (lag2),0.014557993023392243,0.033809884958004695,0.6667709304391535,6278
