category,moderator,var,int_beta,int_se,int_p,rep_main,rep_main_se,rep_main_p,n,error
Climate policy,State RGGI member,state_rggi_member,0.007800345396944868,0.009879265900857657,0.42978050604938156,-0.015549063975412985,0.005395762179089864,0.003955137701983151,5564,
Fiscal,Pct deficient bridges,fn_pct_deficient_lag2,-0.00041501205660859637,0.0005330604934878114,0.436247263900329,-0.013542859846764505,0.005510982773113714,0.013993469363996243,5564,
Structural,Has muni electric utility,ep_has_muni_electric,-0.015392855773026744,0.023104615625682088,0.5052677596298707,-0.012797607923531587,0.0057363825710345226,0.025684149863568505,5564,
Compulsion,All EPA cases prior3yr,epa_case_all_prior3yr_muni,-0.007226148398731996,0.012040775201160906,0.5484130710451778,-0.014699653600573015,0.005157543444985586,0.004370178144157093,5564,
Physical,FEMA disaster count (lag2),fema_disaster_count_lag2,0.00257231679016207,0.004579177314921431,0.5742917297770705,-0.016596284753885013,0.0060213610418021046,0.005847100954077365,5564,
Structural,Unemployment (lag2),unemployment_city_lag2,0.001139517086108857,0.0020854026222036698,0.5847735133671677,-0.02060005671602807,0.011773270045858316,0.08016472505606724,5564,
Fiscal,TEL stringency,tel_stringency_normalized,-0.00016051020240779196,0.0003888338574656071,0.6797539315039062,-0.009576850297175659,0.014440683571184795,0.5072118304081282,5564,
Physical,FEMA disaster any (lag2),fema_disaster_any_lag2,-0.002407659307024265,0.008902056560564685,0.7868056005037017,-0.014413286388498526,0.006099320539083231,0.018122922842234972,5564,
Institutional,State const debt limit,inst_has_constitutional_debt_limit,0.003056900436385848,0.011678029979824261,0.7935025636936928,-0.016139623844366468,0.007005837466293122,0.021237276361267616,5564,
Structural,State BPS adopted,bcode_state_bps_adopted,0.015589932859367411,0.06087059398186725,0.7978612701099242,-0.015472511040803043,0.005077166184548362,0.002307766501020026,5564,
Compulsion,SDWA events asinh,epa_sdwa_events_asinh_lag2,-0.0023889342287586393,0.021179713620122248,0.9101942641985575,-0.015067513008596841,0.005215192181525455,0.003862752166988303,5564,
