year,fips7,city_name,epa_state_insp_rate_npdes,epa_state_response_rate_npdes,epa_state_response_rate_air,epa_state_insp_rate_npdes_norm,epa_state_response_rate_npdes_norm,epa_state_stringency_index
2018,1517000,honolulu,,0.2584269662921348,,0.0,0.0258426966292134,0.0086142322097378
2019,1517000,honolulu,,0.2243589743589743,,0.0,0.0498575498575498,0.0166191832858499
2020,1517000,honolulu,,0.6976744186046512,,0.0,0.1395348837209302,0.0465116279069767
2021,1517000,honolulu,,0.4567901234567901,,0.0,0.0507544581618655,0.0169181527206218
2022,1517000,honolulu,,0.6419753086419753,,0.0,0.091710758377425,0.030570252792475
2023,1517000,honolulu,,0.5520833333333334,,0.0,0.1860445205479452,0.0620148401826484
2013,1608830,boise city,,0.0,16.0,0.0,0.0,0.0
2014,1608830,boise city,,0.0,,0.0,0.0,0.0
2015,1608830,boise city,,,,0.0,,0.0
2016,1608830,boise city,,,,0.0,,0.0
2017,1608830,boise city,,0.0,,0.0,0.0,0.0
2018,1608830,boise city,,0.0,5.0,0.0,0.0,0.0
2019,1608830,boise city,,0.0454545454545454,,0.0,0.0101010101010101,0.0033670033670033
2020,1608830,boise city,,0.036697247706422,,0.0,0.0073394495412844,0.0024464831804281
2021,1608830,boise city,,0.019047619047619,,0.0,0.0021164021164021,0.000705467372134
2022,1608830,boise city,,0.1245421245421245,,0.0,0.0177917320774463,0.0059305773591487
2023,1608830,boise city,,0.2107843137254902,,0.0,0.0710314262691377,0.0236771420897125
2013,1639700,idaho falls,,0.0,16.0,0.0,0.0,0.0
2014,1639700,idaho falls,,0.0,,0.0,0.0,0.0
2015,1639700,idaho falls,,,,0.0,,0.0
2016,1639700,idaho falls,,,,0.0,,0.0
2017,1639700,idaho falls,,0.0,,0.0,0.0,0.0
2018,1639700,idaho falls,,0.0,5.0,0.0,0.0,0.0
2019,1639700,idaho falls,,0.0454545454545454,,0.0,0.0101010101010101,0.0033670033670033
2020,1639700,idaho falls,,0.036697247706422,,0.0,0.0073394495412844,0.0024464831804281
2021,1639700,idaho falls,,0.019047619047619,,0.0,0.0021164021164021,0.000705467372134
2022,1639700,idaho falls,,0.1245421245421245,,0.0,0.0177917320774463,0.0059305773591487
2023,1639700,idaho falls,,0.2107843137254902,,0.0,0.0710314262691377,0.0236771420897125
2013,1652120,meridian,,0.0,16.0,0.0,0.0,0.0
2014,1652120,meridian,,0.0,,0.0,0.0,0.0
2015,1652120,meridian,,,,0.0,,0.0
2016,1652120,meridian,,,,0.0,,0.0
2017,1652120,meridian,,0.0,,0.0,0.0,0.0
2018,1652120,meridian,,0.0,5.0,0.0,0.0,0.0
2019,1652120,meridian,,0.0454545454545454,,0.0,0.0101010101010101,0.0033670033670033
2020,1652120,meridian,,0.036697247706422,,0.0,0.0073394495412844,0.0024464831804281
2021,1652120,meridian,,0.019047619047619,,0.0,0.0021164021164021,0.000705467372134
2022,1652120,meridian,,0.1245421245421245,,0.0,0.0177917320774463,0.0059305773591487
2023,1652120,meridian,,0.2107843137254902,,0.0,0.0710314262691377,0.0236771420897125
2018,1656260,nampa,,0.0,5.0,0.0,0.0,0.0
2019,1656260,nampa,,0.0454545454545454,,0.0,0.0101010101010101,0.0033670033670033
2020,1656260,nampa,,0.036697247706422,,0.0,0.0073394495412844,0.0024464831804281
2021,1656260,nampa,,0.019047619047619,,0.0,0.0021164021164021,0.000705467372134
2022,1656260,nampa,,0.1245421245421245,,0.0,0.0177917320774463,0.0059305773591487
2023,1656260,nampa,,0.2107843137254902,,0.0,0.0710314262691377,0.0236771420897125
2014,1664090,pocatello,,0.0,,0.0,0.0,0.0
2015,1664090,pocatello,,,,0.0,,0.0
2016,1664090,pocatello,,,,0.0,,0.0
2017,1664090,pocatello,,0.0,,0.0,0.0,0.0
2018,1664090,pocatello,,0.0,5.0,0.0,0.0,0.0
2019,1664090,pocatello,,0.0454545454545454,,0.0,0.0101010101010101,0.0033670033670033
2020,1664090,pocatello,,0.036697247706422,,0.0,0.0073394495412844,0.0024464831804281
2021,1664090,pocatello,,0.019047619047619,,0.0,0.0021164021164021,0.000705467372134
2022,1664090,pocatello,,0.1245421245421245,,0.0,0.0177917320774463,0.0059305773591487
2023,1664090,pocatello,,0.2107843137254902,,0.0,0.0710314262691377,0.0236771420897125
2013,1702154,arlington heights,,,,,,
2014,1702154,arlington heights,,0.8536585365853658,5.0,0.0,0.0304878048780487,0.0101626016260162
2015,1702154,arlington heights,,0.9552238805970148,5.5,0.0,0.0833925610045012,0.0277975203348337
2016,1702154,arlington heights,,0.3880597014925373,18.2,0.0,0.0485074626865671,0.3137973873128236
2017,1702154,arlington heights,,0.3714285714285714,9.2,0.0,0.094082171127026,0.2253634654824511
2018,1702154,arlington heights,,0.3980582524271844,17.857142857142858,0.0,0.0398058252427184,0.0132686084142394
2019,1702154,arlington heights,,0.8484848484848485,11.25,0.0,0.1885521885521885,0.0628507295173961
2020,1702154,arlington heights,,1.575,15.875,0.0,0.315,0.105
2021,1702154,arlington heights,,1.7818181818181815,,0.0,0.1979797979797979,0.3993265993265993
2022,1702154,arlington heights,,0.6820809248554913,35.5,0.0,0.097440132122213,0.0324800440407376
2023,1702154,arlington heights,,0.6793478260869565,30.666666666666668,0.0,0.2289309112567004,0.0763103037522334
2013,1703012,aurora,,,,,,
2014,1703012,aurora,,0.8536585365853658,5.0,0.0,0.0304878048780487,0.0101626016260162
2015,1703012,aurora,,0.9552238805970148,5.5,0.0,0.0833925610045012,0.0277975203348337
2016,1703012,aurora,,0.3880597014925373,18.2,0.0,0.0485074626865671,0.3137973873128236
2017,1703012,aurora,,0.3714285714285714,9.2,0.0,0.094082171127026,0.2253634654824511
2018,1703012,aurora,,0.3980582524271844,17.857142857142858,0.0,0.0398058252427184,0.0132686084142394
2019,1703012,aurora,,0.8484848484848485,11.25,0.0,0.1885521885521885,0.0628507295173961
2020,1703012,aurora,,1.575,15.875,0.0,0.315,0.105
2021,1703012,aurora,,1.7818181818181815,,0.0,0.1979797979797979,0.3993265993265993
2022,1703012,aurora,,0.6820809248554913,35.5,0.0,0.097440132122213,0.0324800440407376
2023,1703012,aurora,,0.6793478260869565,30.666666666666668,0.0,0.2289309112567004,0.0763103037522334
2013,1705573,berwyn,,,,,,
2014,1705573,berwyn,,,,,,
2015,1705573,berwyn,,,,,,
2016,1705573,berwyn,,,,,,
2017,1705573,berwyn,,,,,,
2018,1705573,berwyn,,,,,,
2019,1705573,berwyn,,,,,,
2020,1705573,berwyn,,,,,,
2021,1705573,berwyn,,,,,,
2022,1705573,berwyn,,,,,,
2023,1705573,berwyn,,,,,,
2013,1706613,bloomington,,,,,,
2014,1706613,bloomington,,0.8536585365853658,5.0,0.0,0.0304878048780487,0.0101626016260162
2015,1706613,bloomington,,0.9552238805970148,5.5,0.0,0.0833925610045012,0.0277975203348337
2016,1706613,bloomington,,0.3880597014925373,18.2,0.0,0.0485074626865671,0.3137973873128236
2017,1706613,bloomington,,0.3714285714285714,9.2,0.0,0.094082171127026,0.2253634654824511
2018,1706613,bloomington,,0.3980582524271844,17.857142857142858,0.0,0.0398058252427184,0.0132686084142394
2019,1706613,bloomington,,0.8484848484848485,11.25,0.0,0.1885521885521885,0.0628507295173961
2020,1706613,bloomington,,1.575,15.875,0.0,0.315,0.105
2021,1706613,bloomington,,1.7818181818181815,,0.0,0.1979797979797979,0.3993265993265993
2022,1706613,bloomington,,0.6820809248554913,35.5,0.0,0.097440132122213,0.0324800440407376
2023,1706613,bloomington,,0.6793478260869565,30.666666666666668,0.0,0.2289309112567004,0.0763103037522334
2013,1707133,bolingbrook,,,,,,
2014,1707133,bolingbrook,,0.8536585365853658,5.0,0.0,0.0304878048780487,0.0101626016260162
2015,1707133,bolingbrook,,0.9552238805970148,5.5,0.0,0.0833925610045012,0.0277975203348337
2016,1707133,bolingbrook,,0.3880597014925373,18.2,0.0,0.0485074626865671,0.3137973873128236
2017,1707133,bolingbrook,,0.3714285714285714,9.2,0.0,0.094082171127026,0.2253634654824511
2018,1707133,bolingbrook,,0.3980582524271844,17.857142857142858,0.0,0.0398058252427184,0.0132686084142394
2019,1707133,bolingbrook,,0.8484848484848485,11.25,0.0,0.1885521885521885,0.0628507295173961
2020,1707133,bolingbrook,,1.575,15.875,0.0,0.315,0.105
2021,1707133,bolingbrook,,1.7818181818181815,,0.0,0.1979797979797979,0.3993265993265993
2022,1707133,bolingbrook,,0.6820809248554913,35.5,0.0,0.097440132122213,0.0324800440407376
2023,1707133,bolingbrook,,0.6793478260869565,30.666666666666668,0.0,0.2289309112567004,0.0763103037522334
2013,1712385,champaign,,,,,,
2014,1712385,champaign,,0.8536585365853658,5.0,0.0,0.0304878048780487,0.0101626016260162
2015,1712385,champaign,,0.9552238805970148,5.5,0.0,0.0833925610045012,0.0277975203348337
2016,1712385,champaign,,0.3880597014925373,18.2,0.0,0.0485074626865671,0.3137973873128236
2017,1712385,champaign,,0.3714285714285714,9.2,0.0,0.094082171127026,0.2253634654824511
2018,1712385,champaign,,0.3980582524271844,17.857142857142858,0.0,0.0398058252427184,0.0132686084142394
2019,1712385,champaign,,0.8484848484848485,11.25,0.0,0.1885521885521885,0.0628507295173961
2020,1712385,champaign,,1.575,15.875,0.0,0.315,0.105
2021,1712385,champaign,,1.7818181818181815,,0.0,0.1979797979797979,0.3993265993265993
2022,1712385,champaign,,0.6820809248554913,35.5,0.0,0.097440132122213,0.0324800440407376
2023,1712385,champaign,,0.6793478260869565,30.666666666666668,0.0,0.2289309112567004,0.0763103037522334
2013,1714000,chicago,,,,,,
2014,1714000,chicago,,0.8536585365853658,5.0,0.0,0.0304878048780487,0.0101626016260162
2015,1714000,chicago,,0.9552238805970148,5.5,0.0,0.0833925610045012,0.0277975203348337
2016,1714000,chicago,,0.3880597014925373,18.2,0.0,0.0485074626865671,0.3137973873128236
2017,1714000,chicago,,0.3714285714285714,9.2,0.0,0.094082171127026,0.2253634654824511
2018,1714000,chicago,,0.3980582524271844,17.857142857142858,0.0,0.0398058252427184,0.0132686084142394
2019,1714000,chicago,,0.8484848484848485,11.25,0.0,0.1885521885521885,0.0628507295173961
2020,1714000,chicago,,1.575,15.875,0.0,0.315,0.105
2021,1714000,chicago,,1.7818181818181815,,0.0,0.1979797979797979,0.3993265993265993
