fips7,lat,lng,source
1875428,39.4667025,-87.4139119,nominatim
1901855,42.0267567,-93.6170448,nominatim
1912000,41.9758872,-91.6704053,nominatim
1916860,41.258841,-95.8519484,nominatim
1919000,41.5235808,-90.5770967,nominatim
1921000,41.5868654,-93.6249494,nominatim
1922395,42.5006243,-90.6647985,nominatim
1938595,41.6612561,-91.5299106,nominatim
1973335,42.4966815,-96.4058782,nominatim
1982425,42.498275,-92.3328743,nominatim
1983910,41.5644476,-93.7594059,nominatim
2036000,39.1134562,-94.626497,nominatim
2039350,38.9697458,-94.7845837,nominatim
2053775,38.9742502,-94.6851702,nominatim
2064500,39.0273676,-95.7627535,nominatim
2079000,37.6922361,-97.3375448,nominatim
2108902,36.9929203,-86.4428677,nominatim
2158620,37.7742152,-87.1133304,nominatim
2205000,30.4494155,-91.1869659,nominatim
2208920,32.515887,-93.7336536,nominatim
2239475,29.9942265,-90.2417806,nominatim
2240735,30.2262187,-92.0178202,nominatim
2241155,30.2305095,-93.2169807,nominatim
2255000,29.9561422,-90.0733934,nominatim
2270000,32.5135356,-93.7477839,nominatim
2404000,39.2908816,-76.610759,nominatim
2408775,39.0080601,-76.7797899,nominatim
2430325,39.415779,-77.4127562,nominatim
2431175,39.1399187,-77.1929215,nominatim
2467675,39.0817985,-77.1516844,nominatim
2509000,42.0834335,-71.0183787,nominatim
2513660,42.1487691,-72.6071119,nominatim
2523000,41.7010642,-71.1546367,nominatim
2529405,42.7777829,-71.0767724,nominatim
2534550,42.7070354,-71.1631137,nominatim
2537490,42.466763,-70.9494939,nominatim
2539835,42.4184296,-71.1061639,nominatim
2540710,42.7262016,-71.1908924,nominatim
2545000,41.6362152,-70.934205,nominatim
2545560,42.3300435,-71.194862,nominatim
2552490,42.5278731,-70.9286609,nominatim
2555745,42.2509914,-71.0037374,nominatim
2562535,42.3875968,-71.0994968,nominatim
2567000,42.1018764,-72.5886727,nominatim
2569170,41.9019257,-71.0931485,nominatim
2572600,42.3762385,-71.2355644,nominatim
2582000,42.2625621,-71.8018877,nominatim
2603000,42.2813722,-83.7484616,nominatim
2621000,42.3222599,-83.1763145,nominatim
2621020,42.3369816,-83.2732627,nominatim
2622000,42.3315509,-83.0466403,nominatim
2627440,42.4853125,-83.3771553,nominatim
2629000,43.0161693,-83.6900211,nominatim
2634000,42.9632425,-85.6678639,nominatim
2642820,42.8694731,-85.6447492,nominatim
2646000,42.7338254,-84.5546295,nominatim
2649000,42.36837,-83.3527097,nominatim
