fips7,year,gravity_city_peer_all,gravity_city_peer_self,gravity_county_all,gravity_county_self,gravity_special_all,gravity_special_self,gravity_all_all,gravity_all_self
1706613,2016,0.00022972037780566595,0.00019050372502255636,0.00033012469627218086,0.0,0.0008453166843909501,0.0008453166843909501,0.0067073430354573456,0.0020621174999076296
1706613,2017,0.004449493077530542,0.004137387757725714,0.0004505163872207436,0.0,0.0015849687832330314,0.0015849687832330314,0.018430658892384197,0.008266176263402569
1706613,2018,0.004551006157362926,0.004137387757725714,0.0004562974507253787,0.0,0.0015849687832330314,0.0015849687832330314,0.02342615240397793,0.008726915199740358
1706613,2019,0.0049981117843292,0.004565671691157223,0.0005221330869548313,0.0,0.0015849687832330314,0.0015849687832330314,0.025285271451826484,0.0097574091900679
1706613,2020,0.005867870710324365,0.005169949905743637,0.0005353989270375884,0.0,0.0015849687832330314,0.0015849687832330314,0.03306571122157541,0.01622840742936174
1706613,2021,0.008464280774731993,0.007760482571864189,0.000619176715692298,5.623158794191664e-05,0.0015849687832330314,0.0015849687832330314,0.04192367955134473,0.023480079589770813
1706613,2022,0.03971141517796774,0.038596529794691435,0.0012688656697402204,0.0006858054573720927,0.0024122903459104423,0.0023600295045840673,0.07678741792575694,0.05732302280087413
1706613,2023,0.0471927187973478,0.044587891521468054,0.0012865534565172298,0.0006858054573720927,0.004062448162224451,0.0039579264795717006,0.08885587667451822,0.06638684567564514
1706613,2024,0.04843643440128845,0.04526315949422499,0.001301646514577274,0.0006858054573720926,0.004062448162224451,0.0039579264795717006,0.09344120767247505,0.06777235077892234
1706613,2025,0.048838637618960734,0.04566536271189729,0.001429643550217888,0.0006858054573720926,0.005694492866628136,0.005589971183975386,0.0985298760348542,0.07048563599353451
1707133,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1707133,2014,0.0,0.0,0.0011627753993261629,0.0,0.0,0.0,0.0022650621901235683,0.0
1707133,2015,0.0010855617823017209,0.0,0.0012674738070415164,0.0,0.0,0.0,0.0037227635756611694,9.753963941357942e-05
1707133,2016,0.0018493795173245228,0.0007580629310003151,0.0026571220926750205,0.0,0.017429233726508897,0.017429233726508897,0.02859873067070182,0.01958360743204542
1707133,2017,0.002975093436013268,0.0011720991313303362,0.0030852975895887596,0.0,0.03267981323720418,0.03267981323720418,0.04862500548627899,0.036793665583026804
1707133,2018,0.002988475088501656,0.0011720991313303362,0.0030918196545287307,0.0,0.03272661487914173,0.03267981323720418,0.052953450614528795,0.03718944713340506
1707133,2019,0.0033238976050824357,0.0015008308216669212,0.0030918196545287307,0.0,0.03272661487914173,0.03267981323720418,0.05474505794743441,0.03786186897921712
1707133,2020,0.004294818149471918,0.0022437393443939324,0.003112978150676562,0.0,0.03272661487914173,0.03267981323720418,0.07079980259855836,0.04141887059225091
1707133,2021,0.012573254697735651,0.01051644271429949,0.009210606804418707,0.006064487561932985,0.03272661487914173,0.03267981323720418,0.08912543509148463,0.05769843159149451
1707133,2022,0.03362279471000714,0.0306956636076453,0.020117181653465616,0.016944628990196123,0.04102477309290395,0.04095878749533109,0.1327578542201516,0.09946319432084501
1707133,2023,0.23276525054181002,0.03640811687118773,0.020145392981662725,0.016944628990196123,0.04125618485711339,0.041171015303905226,0.335358372269609,0.10700583287501376
1707133,2024,0.23586836385621968,0.03851929811266447,0.020173156556424866,0.01694462899019612,0.04125618485711339,0.041171015303905226,0.3416948130396027,0.10998767098471773
1707133,2025,0.2371865783122252,0.03983751256867001,0.02114675792473648,0.01694462899019612,0.07256337664706353,0.07247820709385536,0.37892945485134055,0.14361347646934045
1712385,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1712385,2014,0.0,0.0,2.663944236265714e-05,0.0,0.0,0.0,0.0018474212090751033,0.0
1712385,2015,2.9905499523147546e-05,0.0,0.00010263380876839163,0.0,0.0,0.0,0.002278848714946008,0.00014801546041847148
1712385,2016,0.0002024619863362201,0.00015951670581963728,0.00029598526450077346,0.0,0.0007661787631671667,0.0007661787631671667,0.005736438157669156,0.002652994795456635
1712385,2017,0.004819671096089718,0.00448796115757477,0.0004853489505180261,0.0,0.0014365851809384376,0.0014365851809384376,0.01766249235857007,0.010686434486401272
1712385,2018,0.0050382276606037646,0.004592819423569379,0.0005882247481595775,0.0,0.0014365851809384376,0.0014365851809384376,0.0214121397101749,0.011524354879214571
