city_name,state_abb,utility_name,has_municipal_electric,customers,revenue_thousands,revenue_millions,large_enough_for_bonds
mount prospect,IL,,0,,,,0
mount vernon,NY,,0,,,,0
muncie,IN,,0,,,,0
murfreesboro,TN,,0,,,,0
nampa,ID,,0,,,,0
napa,CA,,0,,,,0
nashua,NH,,0,,,,0
nashville-davidson county,TN,,0,,,,0
national city,CA,,0,,,,0
new bedford,MA,,0,,,,0
new britain,CT,,0,,,,0
new haven,CT,,0,,,,0
new orleans,LA,,0,,,,0
new rochelle,NY,,0,,,,0
new york,NY,,0,,,,0
newark,NJ,,0,,,,0
newport news,VA,,0,,,,0
newton,MA,,0,,,,0
norfolk,VA,,0,,,,0
norman,OK,,0,,,,0
north charleston,SC,,0,,,,0
north las vegas,NV,,0,,,,0
north miami,FL,,0,,,,0
norwalk,CT,,0,,,,0
novi,MI,,0,,,,0
oak lawn,IL,,0,,,,0
oak park,IL,,0,,,,0
oakland,CA,,0,,,,0
oceanside,CA,,0,,,,0
odessa,TX,,0,,,,0
ogden,UT,,0,,,,0
oklahoma city,OK,,0,,,,0
olathe,KS,,0,,,,0
olympia,WA,,0,,,,0
ontario,CA,,0,,,,0
orange,CA,,0,,,,0
orem,UT,,0,,,,0
orland park,IL,,0,,,,0
oshkosh,WI,,0,,,,0
overland park,KS,,0,,,,0
oxnard,CA,,0,,,,0
palatine,IL,,0,,,,0
palm bay,FL,,0,,,,0
palmdale,CA,,0,,,,0
parma,OH,,0,,,,0
pasadena,TX,,0,,,,0
passaic,NJ,,0,,,,0
paterson,NJ,,0,,,,0
pawtucket,RI,,0,,,,0
pearland,TX,,0,,,,0
pembroke pines,FL,,0,,,,0
pensacola,FL,,0,,,,0
peoria,AZ,,0,,,,0
peoria,IL,,0,,,,0
perris,CA,,0,,,,0
perth amboy,NJ,,0,,,,0
petaluma,CA,,0,,,,0
pharr,TX,,0,,,,0
philadelphia,PA,,0,,,,0
phoenix,AZ,,0,,,,0
pico rivera,CA,,0,,,,0
pinellas park,FL,,0,,,,0
pittsburgh,PA,,0,,,,0
plainfield,NJ,,0,,,,0
plano,TX,,0,,,,0
plantation,FL,,0,,,,0
pleasanton,CA,,0,,,,0
plymouth,MN,,0,,,,0
pocatello,ID,,0,,,,0
pomona,CA,,0,,,,0
pompano beach,FL,,0,,,,0
pontiac,MI,,0,,,,0
port st. lucie,FL,,0,,,,0
portland,OR,,0,,,,0
portland,ME,,0,,,,0
portsmouth,VA,,0,,,,0
providence,RI,,0,,,,0
pueblo,CO,,0,,,,0
quincy,MA,,0,,,,0
racine,WI,,0,,,,0
raleigh,NC,,0,,,,0
rancho cucamonga,CA,,0,,,,0
rapid city,SD,,0,,,,0
reading,PA,,0,,,,0
redmond,WA,,0,,,,0
redondo beach,CA,,0,,,,0
reno,NV,,0,,,,0
renton,WA,,0,,,,0
rialto,CA,,0,,,,0
richardson,TX,,0,,,,0
richmond,VA,,0,,,,0
richmond,CA,,0,,,,0
rio rancho,NM,,0,,,,0
roanoke,VA,,0,,,,0
rochester,NY,,0,,,,0
rochester hills,MI,,0,,,,0
rockford,IL,,0,,,,0
rockville,MD,,0,,,,0
rogers,AR,,0,,,,0
roswell,GA,,0,,,,0
round rock,TX,,0,,,,0
royal oak,MI,,0,,,,0
salem,OR,,0,,,,0
salinas,CA,,0,,,,0
salt lake city,UT,,0,,,,0
san angelo,TX,,0,,,,0
san bernardino,CA,,0,,,,0
san diego,CA,,0,,,,0
san jose,CA,,0,,,,0
san leandro,CA,,0,,,,0
san marcos,CA,,0,,,,0
san rafael,CA,,0,,,,0
san ramon,CA,,0,,,,0
sandy,UT,,0,,,,0
santa ana,CA,,0,,,,0
santa barbara,CA,,0,,,,0
santa fe,NM,,0,,,,0
santa maria,CA,,0,,,,0
santee,CA,,0,,,,0
savannah,GA,,0,,,,0
schaumburg,IL,,0,,,,0
schenectady,NY,,0,,,,0
scottsdale,AZ,,0,,,,0
scranton,PA,,0,,,,0
shawnee,KS,,0,,,,0
shreveport,LA,,0,,,,0
simi valley,CA,,0,,,,0
sioux city,IA,,0,,,,0
sioux falls,SD,,0,,,,0
skokie,IL,,0,,,,0
smyrna,GA,,0,,,,0
somerville,MA,,0,,,,0
south bend,IN,,0,,,,0
southfield,MI,,0,,,,0
sparks,NV,,0,,,,0
spokane,WA,,0,,,,0
springfield,MA,,0,,,,0
springfield,OH,,0,,,,0
st. charles,MO,,0,,,,0
st. clair shores,MI,,0,,,,0
st. cloud,MN,,0,,,,0
st. joseph,MO,,0,,,,0
st. louis,MO,,0,,,,0
st. louis park,MN,,0,,,,0
st. paul,MN,,0,,,,0
st. peters,MO,,0,,,,0
st. petersburg,FL,,0,,,,0
stamford,CT,,0,,,,0
sterling heights,MI,,0,,,,0
stockton,CA,,0,,,,0
suffolk,VA,,0,,,,0
sunnyvale,CA,,0,,,,0
sunrise,FL,,0,,,,0
surprise,AZ,,0,,,,0
syracuse,NY,,0,,,,0
tamarac,FL,,0,,,,0
