CUSIP,Issuer_Name,Issue_Date,primary_prospectus,bloomberg_self_reported_green,bloomberg_industry,federally_compelled,state_compelled_substantive,state_legal_compelled,voter_compelled,n_state_compulsion_hits,kw_calgreen,kw_title_24,kw_energy_code,kw_leed_required,kw_energy_star,kw_ashrae,kw_sb_32,kw_ab_32,kw_cap_and_trade,kw_state_ghg_target,kw_rps,kw_renewable_mandate,kw_clean_energy_mandate,kw_executive_order,kw_state_statute,kw_state_law_required,kw_voter_approved,kw_measure_prop,kw_rate_covenant,kw_seismic_retrofit,kw_unsafe_building,kw_required_by_law,kw_statutory_mandate
793071NS6,City of St Paul MN Sewer Revenue,2015-05-05,P21845120-P21411829-P21854445,Yes,Water/Sewer,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,0,0,1,0
793071NV9,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071NX5,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071NZ0,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071NW7,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
793071NT4,City of St Paul MN Sewer Revenue,2015-05-05,P21845120-P21411829-P21854445,Yes,Water/Sewer,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,0,0,1,0
793071PF2,City of St Paul MN Sewer Revenue,2015-05-05,ER861983-ER673540-ER1075290,Yes,Water/Sewer,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
79771KAN6,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
79771KAD8,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
79771KAF3,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
79771KAE6,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
79771KAB2,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
79771KAC0,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
79771KAG1,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
79771KAJ5,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,ER881975-ER689101-ER1090744,Yes,Municipal Utility,0,1,0,1,78,0,0,0,0,0,0,0,6,12,1,15,1,0,0,2,0,5,32,4,0,0,0,0
