CUSIP,Issuer_Name,Issue_Date,Self_reported_Green,Amt_Issued,State,n_prospectuses,match_kind,prospectus_files
79771KAA4,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,830000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
79771KAH9,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,1370000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
79771KAM8,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,5245000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
79771KAL0,San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,Yes,1585000.0,CA,1,prefix+suffix,ER881975-ER689101-ER1090744
53945CCR9,City of Los Angeles CA Wastewater System Revenue,2015-06-04,Yes,44580000.0,CA,1,full,EA716992-EA562911-EA959013
53945CCK4,City of Los Angeles CA Wastewater System Revenue,2015-06-04,Yes,9050000.0,CA,1,full,EA716992-EA562911-EA959013
53945CCJ7,City of Los Angeles CA Wastewater System Revenue,2015-06-04,Yes,8650000.0,CA,1,full,EA716992-EA562911-EA959013
53945CCN8,City of Los Angeles CA Wastewater System Revenue,2015-06-04,Yes,10485000.0,CA,1,full,EA716992-EA562911-EA959013
53945CCM0,City of Los Angeles CA Wastewater System Revenue,2015-06-04,Yes,9980000.0,CA,1,full,EA716992-EA562911-EA959013
53945CCP3,City of Los Angeles CA Wastewater System Revenue,2015-06-04,Yes,11010000.0,CA,1,full,EA716992-EA562911-EA959013
53945CCG3,City of Los Angeles CA Wastewater System Revenue,2015-06-04,Yes,18470000.0,CA,1,full,EA716992-EA562911-EA959013
53945CCF5,City of Los Angeles CA Wastewater System Revenue,2015-06-04,Yes,11875000.0,CA,1,full,EA716992-EA562911-EA959013
53945CCL2,City of Los Angeles CA Wastewater System Revenue,2015-06-04,Yes,9570000.0,CA,1,full,EA716992-EA562911-EA959013
53945CCH1,City of Los Angeles CA Wastewater System Revenue,2015-06-04,Yes,8275000.0,CA,5,full;prefix+split_suffix,EA716992-EA562911-EA959013;EP996982-EP772996-EP1174766;ER1165936-ER911496-ER1311964;ER890479-ER695548-ER1097054;P11591429-P11228081-P11650034
53945CCQ1,City of Los Angeles CA Wastewater System Revenue,2015-06-04,Yes,46810000.0,CA,1,full,EA716992-EA562911-EA959013
044074DU3,City of Asheville NC Water System Revenue,2015-06-11,Yes,2035000.0,NC,1,full,EA714162-EA560759-EA956890
044074DV1,City of Asheville NC Water System Revenue,2015-06-11,Yes,2130000.0,NC,1,full,EA714162-EA560759-EA956890
044074DX7,City of Asheville NC Water System Revenue,2015-06-11,Yes,2280000.0,NC,1,full,EA714162-EA560759-EA956890
044074DZ2,City of Asheville NC Water System Revenue,2015-06-11,Yes,2440000.0,NC,1,full,EA714162-EA560759-EA956890
044074DJ8,City of Asheville NC Water System Revenue,2015-06-11,Yes,1945000.0,NC,1,full,EA714162-EA560759-EA956890
044074DK5,City of Asheville NC Water System Revenue,2015-06-11,Yes,3340000.0,NC,1,full,EA714162-EA560759-EA956890
044074DM1,City of Asheville NC Water System Revenue,2015-06-11,Yes,3650000.0,NC,1,full,EA714162-EA560759-EA956890
044074DP4,City of Asheville NC Water System Revenue,2015-06-11,Yes,3970000.0,NC,1,full,EA714162-EA560759-EA956890
044074DH2,City of Asheville NC Water System Revenue,2015-06-11,Yes,1900000.0,NC,1,full,EA714162-EA560759-EA956890
044074DL3,City of Asheville NC Water System Revenue,2015-06-11,Yes,3490000.0,NC,1,full,EA714162-EA560759-EA956890
044074DN9,City of Asheville NC Water System Revenue,2015-06-11,Yes,3800000.0,NC,1,full,EA714162-EA560759-EA956890
044074DQ2,City of Asheville NC Water System Revenue,2015-06-11,Yes,4170000.0,NC,1,full,EA714162-EA560759-EA956890
044074DR0,City of Asheville NC Water System Revenue,2015-06-11,Yes,4375000.0,NC,1,full,EA714162-EA560759-EA956890
044074DS8,City of Asheville NC Water System Revenue,2015-06-11,Yes,4600000.0,NC,1,full,EA714162-EA560759-EA956890
