Issuer_Name,Issue_Date,n_CUSIPs,n_CUSIPs_covered,Self_reported_Green_any,Total_Face_Value,Primary_State,n_prospectuses,prospectus_files
City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26,18,18,Yes,157310000,CA,5,EP1028838-ES833343-ES1234413;ER1196139-ER936152-ER1337167;P11636214-P11260306-P11685894;P21502980-P21162007-P21576850;SS1381600-SS1075701-SS1483050
City & County of San Francisco CA Community Facilities District No 2014-1,2020-05-14,18,18,Yes,81820000,CA,5,EP1028838-ES833343-ES1234413;ER1196139-ER936152-ER1337167;P11636214-P11260306-P11685894;P21502980-P21162007-P21576850;SS1381600-SS1075701-SS1483050
City & County of San Francisco CA Community Facilities District No 2014-1,2021-11-03,13,13,Yes,33880000,CA,5,EP1028838-ES833343-ES1234413;ER1196139-ER936152-ER1337167;P11636214-P11260306-P11685894;P21502980-P21162007-P21576850;SS1381600-SS1075701-SS1483050
City & County of San Francisco CA Community Facilities District No 2014-1,2022-12-15,17,17,Yes,47380000,CA,5,EP1028838-ES833343-ES1234413;ER1196139-ER936152-ER1337167;P11636214-P11260306-P11685894;P21502980-P21162007-P21576850;SS1381600-SS1075701-SS1483050
City of Albuquerque NM Refuse Removal & Disposal Revenue,2020-06-30,21,21,No,40570000,NM,1,RE1353388-RE1052206-RE1461006
City of Arvada CO Wastewater Revenue,2025-07-09,1,1,Yes,325000,CO,2,P11872315-P11432445-P11877374;P11872319-P11432449-P11877380
City of Arvada CO Wastewater Revenue,2025-07-19,2,2,Yes,910000,CO,2,P11872315-P11432445-P11877374;P11872319-P11432449-P11877380
City of Arvada CO Wastewater Revenue,2025-09-07,22,22,Yes,13320000,CO,2,P11872315-P11432445-P11877374;P11872319-P11432449-P11877380
City of Arvada CO Water Revenue,2025-07-09,2,2,Yes,22515000,CO,2,P11872315-P11432445-P11877374;P11872319-P11432449-P11877380
City of Arvada CO Water Revenue,2025-07-19,2,2,Yes,3250000,CO,2,P11872315-P11432445-P11877374;P11872319-P11432449-P11877380
City of Arvada CO Water Revenue,2025-09-07,19,19,Yes,59905000,CO,2,P11872315-P11432445-P11877374;P11872319-P11432449-P11877380
City of Asheville NC Water System Revenue,2015-06-11,17,17,Yes,50625000,NC,1,EA714162-EA560759-EA956890
City of Asheville NC Water System Revenue,2021-09-30,22,22,Yes,38125000,NC,2,EA714162-EA560759-EA956890;P11530517-P11183208-P11600029
City of Atlanta GA Airport Passenger Facility Charge,2022-08-31,1,1,Yes,10655000,GA,1,P11693706-P11302614-P11733473
City of Atlanta GA Airport Passenger Facility Charge,2023-08-31,16,16,Yes,284530000,GA,1,P11693706-P11302614-P11733473
City of Atlanta GA Department of Aviation,,2,2,Yes,32685000,GA,1,P21963220-P21497913-P21950218
City of Atlanta GA Department of Aviation,2023-08-31,24,24,Yes,206565000,GA,1,P11693706-P11302614-P11733473
City of Atlanta GA Department of Aviation,2024-08-22,22,22,Yes,228545000,GA,1,P21837036-P21408019-P21850316
City of Atlanta GA Department of Aviation,2025-07-09,2,2,Yes,48280000,GA,1,P21963220-P21497913-P21950218
City of Atlanta GA Department of Aviation,2025-07-19,1,1,Yes,266510000,GA,1,P21963220-P21497913-P21950218
City of Atlanta GA Department of Aviation,2025-07-24,9,9,Yes,203695000,GA,1,P21963220-P21497913-P21950218
City of Atlanta GA Department of Aviation,2025-07-25,5,5,Yes,294490000,GA,1,P21963220-P21497913-P21950218
City of Atlanta GA Department of Aviation,2025-09-24,3,3,Yes,68980000,GA,1,P21963220-P21497913-P21950218
City of Atlanta GA Water & Wastewater Revenue,2019-01-31,2,2,No,14020000,GA,1,ES1235917-ES965388-ES1366271
City of Aurora CO Sewer Revenue,2023-02-23,19,19,No,43780000,CO,1,P21664627-P21281129-P21709782
City of Aurora CO Water Revenue,2016-08-16,26,26,Yes,437025000,CO,2,EP942755-EP731498-EP1133209;P11525769-P11178196-P11594549
City of Aurora CO Water Revenue,2021-09-09,17,17,Yes,265230000,CO,2,EP942755-EP731498-EP1133209;P11525769-P11178196-P11594549
City of Battle Creek MI Water & Wastewater System Revenue,2016-12-28,15,15,No,8890000,MI,1,ER1000524-ER782761-ER1183971
City of Bend OR Sewer Revenue,2020-09-30,23,16,No,37925000,OR,1,P11413696-P11098194-P11507222
City of Berkeley CA,2020-04-16,20,20,Yes,7790000,CA,1,RE1347013-RE1047751-RE1456143
City of Berkeley CA,2020-06-03,20,20,Yes,11690000,CA,1,SS1383167-SS1076813-SS1484278
City of Bloomington IN,2021-12-21,24,24,No,10770000,IN,1,P11550123-P11196959-P11615014
City of Bloomington IN Sewage Works Revenue,2020-12-23,15,15,Yes,24445000,IN,2,P21520597-P21175877-P21592245;P31405898-P31093081-P31502131
City of Bloomington IN Sewage Works Revenue,2021-12-21,11,11,Yes,5705000,IN,1,P21520597-P21175877-P21592245
