Issuer_Name,Issue_Date,n_CUSIPs,n_CUSIPs_covered,Self_reported_Green_any,Total_Face_Value,Primary_State,n_prospectuses,prospectus_files
Jersey City Municipal Utilities Authority,2025-04-30,43,43,Yes,213840000,NJ,1,P11842804-P11411795-P11854392
Lancaster Power Authority,2021-04-01,1,1,Yes,1875000,CA,1,P11533832-P11185464-P11602414
Lancaster Power Authority,2021-10-12,15,15,No,17430000,CA,1,P11533832-P11185464-P11602414
Lexington-Fayette Urban County Government,2014-12-16,1,1,No,2900000,KY,1,EP840034-EP649831-EP1051429
Los Angeles Department of Water & Power,2013-06-04,1,1,No,27855000,CA,1,EA531719-EA414230-EA811102
Louisville and Jefferson County Metropolitan Sewer District,2022-02-01,27,26,Yes,225000000,KY,1,P21536543-P21187636-P21605628
Louisville and Jefferson County Metropolitan Sewer District,2022-10-05,1,1,No,226340000,KY,1,P21617486-P21246237-P21670689
Louisville and Jefferson County Metropolitan Sewer District,2023-10-26,27,27,No,351975000,KY,3,P21536543-P21187636-P21605628;P21617486-P21246237-P21670689;P21737014-P21334139-P21768189
Metropolitan Pier & Exposition Authority,2019-05-08,20,0,No,36865000,IL,0,
Metropolitan Pier & Exposition Authority,2024-01-10,3,0,No,42830000,IL,0,
Milwaukee Redevelopment Authority,2016-12-01,1,1,No,6275000,WI,1,EP965467-EP749037-EP1150641
Monterey Park Financing Authority,2024-05-16,18,18,Yes,20555000,CA,1,P21806547-P21386275-P21826524
Oxnard Financing Authority,2021-03-03,12,12,Yes,23305000,CA,1,P31413978-P31099449-P31509204
Philadelphia Authority for Industrial Development,2018-04-26,16,16,Yes,10310000,PA,1,ES1143102-ES894276-ES1295551
Port of Los Angeles,2016-10-13,1,1,Yes,35205000,CA,1,ES821894-ES644906-ES1040084
Port of Los Angeles,2019-09-18,2,2,Yes,15675000,CA,1,ER1252791-ER979149-ER1380636
Port of Los Angeles,2024-08-01,1,1,No,9505000,CA,1,P21846946-P21414886-P21857793
Port of Los Angeles,2024-09-25,5,5,No,40100000,CA,1,P21846946-P21414886-P21857793
Reading Area Water Authority,2020-03-26,16,16,Yes,50195000,PA,1,ES1358289-ES1058443-ES1464084
San Francisco City & County Public Utilities Commission Power Revenue,2015-05-20,13,13,Yes,32025000,CA,2,ER881975-ER689101-ER1090744;P21525393-P21179406-P21596352
San Francisco City & County Public Utilities Commission Power Revenue,2021-12-21,24,24,Yes,74280000,CA,1,P21525393-P21179406-P21596352
San Francisco City & County Public Utilities Commission Wastewater Revenue,2016-05-24,20,20,Yes,240580000,CA,6,ES1184461-ES925614-ES1326629;ES786506-ES618502-ES1014137;P21519443-P21175017-P21591296;P21695700-P21303909-P21735102;P21830885-P21403242-P21845144;P21853260-ES925634-ES1326652
San Francisco City & County Public Utilities Commission Wastewater Revenue,2018-08-09,19,19,Yes,408195000,CA,6,ES1184461-ES925614-ES1326629;ES786506-ES618502-ES1014137;P21519443-P21175017-P21591296;P21695700-P21303909-P21735102;P21830885-P21403242-P21845144;P21853260-ES925634-ES1326652
San Francisco City & County Public Utilities Commission Wastewater Revenue,2021-11-30,11,10,Yes,608300000,CA,1,P21519443-P21175017-P21591296
San Francisco City & County Public Utilities Commission Wastewater Revenue,2023-04-19,18,18,Yes,696225000,CA,6,ES1184461-ES925614-ES1326629;ES786506-ES618502-ES1014137;P21519443-P21175017-P21591296;P21695700-P21303909-P21735102;P21830885-P21403242-P21845144;P21853260-ES925634-ES1326652
San Francisco City & County Public Utilities Commission Wastewater Revenue,2024-07-31,18,18,Yes,970830000,CA,1,P21830885-P21403242-P21845144
San Francisco Municipal Transportation Agency,2021-03-11,3,3,Yes,104285000,CA,1,P21441975-P21119462-P21530771
San Jose Financing Authority,2022-12-15,23,23,Yes,268355000,CA,1,P11636800-P11260714-P11686344
San Rafael Joint Powers Financing Authority,2018-03-28,14,14,Yes,45485000,CA,1,ES1122236-ES877569-ES1278825
South Dallas Water Authority Inc,2022-01-25,12,12,Yes,3955000,TX,1,P21533908-P21185611-P21603404
St Louis Clean Energy Development Board,2017-09-21,1,0,No,10105000,MO,0,
St Louis Clean Energy Development Board,2017-12-21,1,1,No,4540000,MO,1,P22000843-P21524435-P21979770
St Louis Clean Energy Development Board,2018-06-22,1,0,No,2638000,MO,0,
St Louis Municipal Finance Corp,2016-05-04,1,0,No,3635000,MO,1,ES790334-ES618314-ER1154135
Stockton Public Financing Authority,2018-11-20,19,19,Yes,145220000,CA,2,ER1168298-ER913308-ER1313780;ES1328982-ES1036897-ES1439752
Stockton Public Financing Authority,2019-12-05,16,16,Yes,54785000,CA,1,ES1328982-ES1036897-ES1439752
Stockton Public Financing Authority,2024-09-04,5,5,No,28085000,CA,1,P11783647-P11368887-P11806546
Sunnyvale Financing Authority,2020-11-12,20,20,Yes,131200000,CA,1,P21413204-P21094842-P21503807
Trust for Cultural Resources of The City of New York/The,2021-01-07,1,1,Yes,73260000,NY,1,P31405868-P31093055-P31502104
Village of Oak Lawn IL Regional Water System Revenue,2022-06-15,1,1,Yes,19285000,IL,1,P21577992-P21218099-P21639677
Woodland Finance Authority,2021-12-16,17,17,Yes,13205000,CA,1,P21520298-P21175673-P21592007
