CUSIP,Issuer_Name,Issue_Date,primary_prospectus,n_prospectus_matches,match_kind,prospectus_total_words,green_section_chars,n_green_keywords,green_keyword_density_per_1k,n_frameworks_cited,frameworks_cited,has_SPO,spo_verifiers,bloomberg_self_reported_green,bloomberg_esg_assurance,bloomberg_esg_framework,bloomberg_project_category,bloomberg_industry,city_fips7,State
793071SY8,City of St Paul MN Sewer Revenue,2019-06-19,ES1272341-ES995769-ES1397201,1,full,95892,1583,77,0.803,0,,0,,Yes,No,No,Sustainable Water,Water/Sewer,2758000.0,MN
793071TA9,City of St Paul MN Sewer Revenue,2019-06-19,ES1272341-ES995769-ES1397201,1,full,95892,1583,77,0.803,0,,0,,Yes,No,No,Sustainable Water,Water/Sewer,2758000.0,MN
793071TC5,City of St Paul MN Sewer Revenue,2019-06-19,ES1272341-ES995769-ES1397201,1,full,95892,1583,77,0.803,0,,0,,Yes,No,No,Sustainable Water,Water/Sewer,2758000.0,MN
793071TD3,City of St Paul MN Sewer Revenue,2019-06-19,ES1272341-ES995769-ES1397201,1,full,95892,1583,77,0.803,0,,0,,Yes,No,No,Sustainable Water,Water/Sewer,2758000.0,MN
793071TE1,City of St Paul MN Sewer Revenue,2019-06-19,P21845120-P21411829-P21854445,9,full;prefix+split_suffix,142963,8000,106,0.741,0,,0,,Yes,No,No,Sustainable Water,Water/Sewer,2758000.0,MN
875143AU3,City of Tampa FL,2018-04-26,ES1137721-ES890247-ES1291554,1,full,212294,0,765,3.603,0,,0,,Yes,No,No,Sustainable Water,Special Assessment,1271000.0,FL
875143AW9,City of Tampa FL,2018-04-26,ES1137721-ES890247-ES1291554,1,full,212294,0,765,3.603,0,,0,,Yes,No,No,Sustainable Water,Special Assessment,1271000.0,FL
875143AL3,City of Tampa FL,2018-04-26,P21496670-P21158908-P21573465,2,full;prefix+split_suffix,149037,2163,1301,8.729,0,,0,,Yes,No,No,Sustainable Water,Special Assessment,1271000.0,FL
875143AX7,City of Tampa FL,2018-04-26,ES1137721-ES890247-ES1291554,1,full,212294,0,765,3.603,0,,0,,Yes,No,No,Sustainable Water,Special Assessment,1271000.0,FL
79765DZ29,City & County of San Francisco CA,2019-10-23,ES1312722-ES1025651-ES1427554,1,prefix+suffix,1109488,3985,98,0.088,0,,0,,Yes,No,No,"Clean Transportation, Renewable Energy",Appropriation,667000.0,CA
875143AG4,City of Tampa FL,2018-04-26,ES1137721-ES890247-ES1291554,1,full,212294,0,765,3.603,0,,0,,Yes,No,No,Sustainable Water,Special Assessment,1271000.0,FL
875143AQ2,City of Tampa FL,2018-04-26,ES1137721-ES890247-ES1291554,1,full,212294,0,765,3.603,0,,0,,Yes,No,No,Sustainable Water,Special Assessment,1271000.0,FL
875143AR0,City of Tampa FL,2018-04-26,P21496670-P21158908-P21573465,2,full;prefix+split_suffix,149037,2163,1301,8.729,0,,0,,Yes,No,No,Sustainable Water,Special Assessment,1271000.0,FL
875143AV1,City of Tampa FL,2018-04-26,ES1137721-ES890247-ES1291554,1,full,212294,0,765,3.603,0,,0,,Yes,No,No,Sustainable Water,Special Assessment,1271000.0,FL
875143AK5,City of Tampa FL,2018-04-26,ES1137721-ES890247-ES1291554,1,full,212294,0,765,3.603,0,,0,,Yes,No,No,Sustainable Water,Special Assessment,1271000.0,FL
875143AM1,City of Tampa FL,2018-04-26,ES1137721-ES890247-ES1291554,1,full,212294,0,765,3.603,0,,0,,Yes,No,No,Sustainable Water,Special Assessment,1271000.0,FL
875143AY5,City of Tampa FL,2018-04-26,ES1137721-ES890247-ES1291554,1,full,212294,0,765,3.603,0,,0,,Yes,No,No,Sustainable Water,Special Assessment,1271000.0,FL
79772ECH0,City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26,ER1196139-ER936152-ER1337167,1,prefix+suffix,114862,536,83,0.723,0,,0,,Yes,Yes,Yes,Green Buildings,Mello-Roos,667000.0,CA
79772ECJ6,City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26,ER1196139-ER936152-ER1337167,1,prefix+suffix,114862,536,83,0.723,0,,0,,Yes,Yes,Yes,Green Buildings,Mello-Roos,667000.0,CA
79772ECR8,City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26,ER1196139-ER936152-ER1337167,1,prefix+suffix,114862,536,83,0.723,0,,0,,Yes,Yes,Yes,Green Buildings,Mello-Roos,667000.0,CA
79768HEP9,San Francisco City & County Public Utilities Commission Wastewater Revenue,2018-08-09,ES1184461-ES925614-ES1326629,2,prefix+suffix,158902,6717,270,1.699,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,"Sustainable Water, Green Buildings",Water/Sewer,667000.0,CA
79772ECM9,City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26,ER1196139-ER936152-ER1337167,1,prefix+suffix,114862,536,83,0.723,0,,0,,Yes,Yes,Yes,Green Buildings,Mello-Roos,667000.0,CA
79772ECQ0,City & County of San Francisco CA Community Facilities District No 2014-1,2019-02-26,ER1196139-ER936152-ER1337167,1,prefix+suffix,114862,536,83,0.723,0,,0,,Yes,Yes,Yes,Green Buildings,Mello-Roos,667000.0,CA
