CUSIP,Issuer_Name,Issue_Date,primary_prospectus,prospectus_total_words,bloomberg_industry,bloomberg_project_category,bloomberg_self_reported_green,n_compliance_keywords,compliance_density_per_1k,compelled_by_text,compelled_by_text_strict,kw_clean_water_act,kw_safe_drinking_water,kw_cercla,kw_npdes,kw_consent_decree,kw_epa_enforcement,kw_administrative_order,kw_ms4_permit,kw_compliance_schedule,kw_court_order,kw_regulatory_mandate,kw_tmdl,kw_violation,kw_enforcement_action
287605FP9,City of Elkhart IN Sewage Works Revenue,2021-07-29,P21480325-P21147765-P21561430,36960,Water/Sewer,Sustainable Water,Yes,1,0.027,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
287605FQ7,City of Elkhart IN Sewage Works Revenue,2021-07-29,P21480325-P21147765-P21561430,36960,Water/Sewer,Sustainable Water,Yes,1,0.027,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
287605FM6,City of Elkhart IN Sewage Works Revenue,2021-07-29,P21480325-P21147765-P21561430,36960,Water/Sewer,Sustainable Water,Yes,1,0.027,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
044074EC2,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
604841DX1,City of Mishawaka IN Waterworks Revenue,2021-05-19,P21460562-P21133535-P21546142,90581,Water/Sewer,Sustainable Water,Yes,5,0.055,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
793071UD1,City of St Paul MN Sewer Revenue,2021-09-15,P21845120-P21411829-P21854445,142963,Water/Sewer,Sustainable Water,Yes,12,0.084,0,0,1,0,0,8,0,0,0,0,0,1,2,0,0,0
793071UE9,City of St Paul MN Sewer Revenue,2021-09-15,P11698661-P11306161-P11737312,143324,Water/Sewer,Sustainable Water,Yes,12,0.084,0,0,1,0,0,8,0,0,0,0,0,1,2,0,0,0
793071UC3,City of St Paul MN Sewer Revenue,2021-09-15,P11522928-P11177998-P11594334,91280,Water/Sewer,Sustainable Water,Yes,10,0.11,0,0,1,0,0,7,0,0,0,0,0,1,1,0,0,0
60242MEG4,City of Milwaukee WI Sewerage System Revenue,2021-05-14,P21458655-P21132163-P21544598,149221,Water/Sewer,Natural Resource Management,Yes,7,0.047,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
60242MEH2,City of Milwaukee WI Sewerage System Revenue,2021-05-14,P21458655-P21132163-P21544598,149221,Water/Sewer,Natural Resource Management,Yes,7,0.047,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
051595BS4,City of Aurora CO Water Revenue,2021-09-09,P11525769-P11178196-P11594549,171084,Water/Sewer,Sustainable Water,Yes,7,0.041,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0
051595BR6,City of Aurora CO Water Revenue,2021-09-09,P11525769-P11178196-P11594549,171084,Water/Sewer,Sustainable Water,Yes,7,0.041,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0
051595BQ8,City of Aurora CO Water Revenue,2021-09-09,P11525769-P11178196-P11594549,171084,Water/Sewer,Sustainable Water,Yes,7,0.041,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0
812728WG4,City of Seattle WA Water System Revenue,2021-06-17,P21467249-P21138349-P21551271,99427,Water/Sewer,Sustainable Water,Yes,11,0.111,1,0,5,1,0,0,3,0,0,0,0,0,2,0,0,0
812728WF6,City of Seattle WA Water System Revenue,2021-06-17,P21467249-P21138349-P21551271,99427,Water/Sewer,Sustainable Water,Yes,11,0.111,1,0,5,1,0,0,3,0,0,0,0,0,2,0,0,0
812728WH2,City of Seattle WA Water System Revenue,2021-06-17,P21467249-P21138349-P21551271,99427,Water/Sewer,Sustainable Water,Yes,11,0.111,1,0,5,1,0,0,3,0,0,0,0,0,2,0,0,0
044074EA6,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
044074EB4,City of Asheville NC Water System Revenue,2021-09-30,P11530517-P11183208-P11600029,98127,Water/Sewer,Sustainable Water,Yes,6,0.061,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0
513793AR0,Lancaster Power Authority,2021-10-12,P11533832-P11185464-P11602414,115646,Appropriation,Renewable Energy,--,9,0.078,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0
513793AP4,Lancaster Power Authority,2021-10-12,P11533832-P11185464-P11602414,115646,Appropriation,Renewable Energy,--,9,0.078,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0
513793AS8,Lancaster Power Authority,2021-10-12,P11533832-P11185464-P11602414,115646,Appropriation,Renewable Energy,--,9,0.078,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0
513793AQ2,Lancaster Power Authority,2021-10-12,P11533832-P11185464-P11602414,115646,Appropriation,Renewable Energy,--,9,0.078,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0
691879FY1,Oxnard Financing Authority,2021-03-03,P31413978-P31099449-P31509204,151154,Water/Sewer,Sustainable Water,Yes,8,0.053,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
691879FZ8,Oxnard Financing Authority,2021-03-03,P31413978-P31099449-P31509204,151154,Water/Sewer,Sustainable Water,Yes,8,0.053,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
691879FX3,Oxnard Financing Authority,2021-03-03,P31413978-P31099449-P31509204,151154,Water/Sewer,Sustainable Water,Yes,8,0.053,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
875143BB4,City of Tampa FL,2021-10-07,P21496670-P21158908-P21573465,149037,Special Assessment,Sustainable Water,Yes,38,0.255,0,0,7,0,0,15,0,0,0,4,0,1,1,10,0,0
875143BA6,City of Tampa FL,2021-10-07,P21496670-P21158908-P21573465,149037,Special Assessment,Sustainable Water,Yes,38,0.255,0,0,7,0,0,15,0,0,0,4,0,1,1,10,0,0
875143AZ2,City of Tampa FL,2021-10-07,P21496670-P21158908-P21573465,149037,Special Assessment,Sustainable Water,Yes,38,0.255,0,0,7,0,0,15,0,0,0,4,0,1,1,10,0,0
97951QBB2,Woodland Finance Authority,2021-12-16,P21520298-P21175673-P21592007,130204,Water/Sewer,Sustainable Water,Yes,6,0.046,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0
97951QBC0,Woodland Finance Authority,2021-12-16,P21520298-P21175673-P21592007,130204,Water/Sewer,Sustainable Water,Yes,6,0.046,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0
97951QBD8,Woodland Finance Authority,2021-12-16,P21520298-P21175673-P21592007,130204,Water/Sewer,Sustainable Water,Yes,6,0.046,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0
79771KAZ9,San Francisco City & County Public Utilities Commission Power Revenue,2021-12-21,P21525393-P21179406-P21596352,104044,Public Power,"Renewable Energy, Energy Efficiency",Yes,3,0.029,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
79772EDQ9,City & County of San Francisco CA Community Facilities District No 2014-1,2021-11-03,P21502980-P21162007-P21576850,119943,Mello-Roos,Clean Transportation,Yes,2,0.017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
691879GA2,Oxnard Financing Authority,2021-03-03,P31413978-P31099449-P31509204,151154,Water/Sewer,Sustainable Water,Yes,8,0.053,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
79772EDP1,City & County of San Francisco CA Community Facilities District No 2014-1,2021-11-03,P21502980-P21162007-P21576850,119943,Mello-Roos,Clean Transportation,Yes,2,0.017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
79772EDR7,City & County of San Francisco CA Community Facilities District No 2014-1,2021-11-03,P21502980-P21162007-P21576850,119943,Mello-Roos,Clean Transportation,Yes,2,0.017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
988522AC2,City of Yuma AZ Water & Sewer Revenue,2021-12-28,P31433916-P31114116-P31525247,80993,Water/Sewer,Sustainable Water,Yes,7,0.086,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0
988522AA6,City of Yuma AZ Water & Sewer Revenue,2021-12-28,P31433916-P31114116-P31525247,80993,Water/Sewer,Sustainable Water,Yes,7,0.086,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0
988522AB4,City of Yuma AZ Water & Sewer Revenue,2021-12-28,P31433916-P31114116-P31525247,80993,Water/Sewer,Sustainable Water,Yes,7,0.086,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0
919259BT7,City of Vallejo CA Water Revenue,2021-02-24,P31413949-P31099429-P31509183,146202,Water/Sewer,Sustainable Water,Yes,7,0.048,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0
919259BU4,City of Vallejo CA Water Revenue,2021-02-24,P31413949-P31099429-P31509183,146202,Water/Sewer,Sustainable Water,Yes,7,0.048,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0
919259BV2,City of Vallejo CA Water Revenue,2021-02-24,P31413949-P31099429-P31509183,146202,Water/Sewer,Sustainable Water,Yes,7,0.048,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0
094725MS4,City of Bloomington IN Sewage Works Revenue,2021-12-21,P21520597-P21175877-P21592245,49540,Water/Sewer,Sustainable Water,Yes,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
094725MV7,City of Bloomington IN Sewage Works Revenue,2021-12-21,P21520597-P21175877-P21592245,49540,Water/Sewer,Sustainable Water,Yes,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
119732AE5,Buffalo Sewer Authority,2021-06-16,P11502927-P11163904-P11579113,156696,Water/Sewer,Sustainable Water,Yes,53,0.338,0,0,21,0,0,0,0,0,20,7,0,0,4,0,0,1
119732AJ4,Buffalo Sewer Authority,2021-06-16,P11502927-P11163904-P11579113,156696,Water/Sewer,Sustainable Water,Yes,53,0.338,0,0,21,0,0,0,0,0,20,7,0,0,4,0,0,1
119732AF2,Buffalo Sewer Authority,2021-06-16,P11502927-P11163904-P11579113,156696,Water/Sewer,Sustainable Water,Yes,53,0.338,0,0,21,0,0,0,0,0,20,7,0,0,4,0,0,1
119732AG0,Buffalo Sewer Authority,2021-06-16,P11502927-P11163904-P11579113,156696,Water/Sewer,Sustainable Water,Yes,53,0.338,0,0,21,0,0,0,0,0,20,7,0,0,4,0,0,1
094615AJ0,City of Bloomington IN,2021-12-21,P11550123-P11196959-P11615014,35117,Appropriation,Renewable Energy,--,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
