year,fips7,city_name,state_abb,muni_aaa_yield,c40_member,mayors_climate_signatory,iclei_member,climate_commitment_score,state_rps_active,state_rps_target_pct,state_carbon_pricing,state_carbon_price,state_climate_plan
2013,427820,glendale,AZ,3.67,0,0,0,0,1,15.0,0,0.0,1
2014,427820,glendale,AZ,3.38,0,0,0,0,1,15.0,0,0.0,1
2015,427820,glendale,AZ,3.16,0,0,0,0,1,15.0,0,0.0,1
2016,427820,glendale,AZ,2.84,0,0,0,0,1,15.0,0,0.0,1
2017,427820,glendale,AZ,3.0,0,0,0,0,1,15.0,0,0.0,1
2018,427820,glendale,AZ,3.27,0,0,0,0,1,15.0,0,0.0,1
2019,427820,glendale,AZ,2.86,0,0,0,0,1,15.0,0,0.0,1
2020,427820,glendale,AZ,2.21,0,0,0,0,1,15.0,0,0.0,1
2021,427820,glendale,AZ,1.79,0,0,0,0,1,15.0,0,0.0,1
2022,427820,glendale,AZ,3.07,0,0,0,0,1,15.0,0,0.0,1
2023,427820,glendale,AZ,3.61,0,0,0,0,1,15.0,0,0.0,1
2013,439370,lake havasu city,AZ,3.67,0,0,0,0,1,15.0,0,0.0,1
2014,439370,lake havasu city,AZ,3.38,0,0,0,0,1,15.0,0,0.0,1
2015,439370,lake havasu city,AZ,3.16,0,0,0,0,1,15.0,0,0.0,1
2016,439370,lake havasu city,AZ,2.84,0,0,0,0,1,15.0,0,0.0,1
2017,439370,lake havasu city,AZ,3.0,0,0,0,0,1,15.0,0,0.0,1
2018,439370,lake havasu city,AZ,3.27,0,0,0,0,1,15.0,0,0.0,1
2019,439370,lake havasu city,AZ,2.86,0,0,0,0,1,15.0,0,0.0,1
2020,439370,lake havasu city,AZ,2.21,0,0,0,0,1,15.0,0,0.0,1
2021,439370,lake havasu city,AZ,1.79,0,0,0,0,1,15.0,0,0.0,1
2022,439370,lake havasu city,AZ,3.07,0,0,0,0,1,15.0,0,0.0,1
2023,439370,lake havasu city,AZ,3.61,0,0,0,0,1,15.0,0,0.0,1
2013,446000,mesa,AZ,3.67,0,1,0,1,1,15.0,0,0.0,1
2014,446000,mesa,AZ,3.38,0,1,0,1,1,15.0,0,0.0,1
2015,446000,mesa,AZ,3.16,0,1,0,1,1,15.0,0,0.0,1
2016,446000,mesa,AZ,2.84,0,1,0,1,1,15.0,0,0.0,1
2017,446000,mesa,AZ,3.0,0,1,0,1,1,15.0,0,0.0,1
2018,446000,mesa,AZ,3.27,0,1,0,1,1,15.0,0,0.0,1
2019,446000,mesa,AZ,2.86,0,1,0,1,1,15.0,0,0.0,1
2020,446000,mesa,AZ,2.21,0,1,0,1,1,15.0,0,0.0,1
2021,446000,mesa,AZ,1.79,0,1,0,1,1,15.0,0,0.0,1
2022,446000,mesa,AZ,3.07,0,1,0,1,1,15.0,0,0.0,1
2023,446000,mesa,AZ,3.61,0,1,0,1,1,15.0,0,0.0,1
2013,454050,peoria,AZ,3.67,0,0,0,0,1,15.0,0,0.0,1
2014,454050,peoria,AZ,3.38,0,0,0,0,1,15.0,0,0.0,1
2015,454050,peoria,AZ,3.16,0,0,0,0,1,15.0,0,0.0,1
2016,454050,peoria,AZ,2.84,0,0,0,0,1,15.0,0,0.0,1
2017,454050,peoria,AZ,3.0,0,0,0,0,1,15.0,0,0.0,1
2018,454050,peoria,AZ,3.27,0,0,0,0,1,15.0,0,0.0,1
2019,454050,peoria,AZ,2.86,0,0,0,0,1,15.0,0,0.0,1
2020,454050,peoria,AZ,2.21,0,0,0,0,1,15.0,0,0.0,1
2021,454050,peoria,AZ,1.79,0,0,0,0,1,15.0,0,0.0,1
2022,454050,peoria,AZ,3.07,0,0,0,0,1,15.0,0,0.0,1
2023,454050,peoria,AZ,3.61,0,0,0,0,1,15.0,0,0.0,1
2013,455000,phoenix,AZ,3.67,0,1,1,2,1,15.0,0,0.0,1
2014,455000,phoenix,AZ,3.38,0,1,1,2,1,15.0,0,0.0,1
2015,455000,phoenix,AZ,3.16,0,1,1,2,1,15.0,0,0.0,1
2016,455000,phoenix,AZ,2.84,1,1,1,3,1,15.0,0,0.0,1
2017,455000,phoenix,AZ,3.0,1,1,1,3,1,15.0,0,0.0,1
2018,455000,phoenix,AZ,3.27,1,1,1,3,1,15.0,0,0.0,1
2019,455000,phoenix,AZ,2.86,1,1,1,3,1,15.0,0,0.0,1
2020,455000,phoenix,AZ,2.21,1,1,1,3,1,15.0,0,0.0,1
2021,455000,phoenix,AZ,1.79,1,1,1,3,1,15.0,0,0.0,1
2022,455000,phoenix,AZ,3.07,1,1,1,3,1,15.0,0,0.0,1
2023,455000,phoenix,AZ,3.61,1,1,1,3,1,15.0,0,0.0,1
2013,465000,scottsdale,AZ,3.67,0,0,0,0,1,15.0,0,0.0,1
2014,465000,scottsdale,AZ,3.38,0,0,0,0,1,15.0,0,0.0,1
2015,465000,scottsdale,AZ,3.16,0,0,0,0,1,15.0,0,0.0,1
2016,465000,scottsdale,AZ,2.84,0,0,0,0,1,15.0,0,0.0,1
2017,465000,scottsdale,AZ,3.0,0,0,0,0,1,15.0,0,0.0,1
2018,465000,scottsdale,AZ,3.27,0,0,0,0,1,15.0,0,0.0,1
2019,465000,scottsdale,AZ,2.86,0,0,0,0,1,15.0,0,0.0,1
2020,465000,scottsdale,AZ,2.21,0,0,0,0,1,15.0,0,0.0,1
2021,465000,scottsdale,AZ,1.79,0,0,0,0,1,15.0,0,0.0,1
2022,465000,scottsdale,AZ,3.07,0,0,0,0,1,15.0,0,0.0,1
2023,465000,scottsdale,AZ,3.61,0,0,0,0,1,15.0,0,0.0,1
2013,471510,surprise,AZ,3.67,0,0,0,0,1,15.0,0,0.0,1
2014,471510,surprise,AZ,3.38,0,0,0,0,1,15.0,0,0.0,1
2015,471510,surprise,AZ,3.16,0,0,0,0,1,15.0,0,0.0,1
2016,471510,surprise,AZ,2.84,0,0,0,0,1,15.0,0,0.0,1
2017,471510,surprise,AZ,3.0,0,0,0,0,1,15.0,0,0.0,1
2018,471510,surprise,AZ,3.27,0,0,0,0,1,15.0,0,0.0,1
2019,471510,surprise,AZ,2.86,0,0,0,0,1,15.0,0,0.0,1
2020,471510,surprise,AZ,2.21,0,0,0,0,1,15.0,0,0.0,1
2021,471510,surprise,AZ,1.79,0,0,0,0,1,15.0,0,0.0,1
2022,471510,surprise,AZ,3.07,0,0,0,0,1,15.0,0,0.0,1
2023,471510,surprise,AZ,3.61,0,0,0,0,1,15.0,0,0.0,1
2013,473000,tempe,AZ,3.67,0,0,0,0,1,15.0,0,0.0,1
2014,473000,tempe,AZ,3.38,0,0,0,0,1,15.0,0,0.0,1
2015,473000,tempe,AZ,3.16,0,0,0,0,1,15.0,0,0.0,1
2016,473000,tempe,AZ,2.84,0,0,0,0,1,15.0,0,0.0,1
2017,473000,tempe,AZ,3.0,0,0,0,0,1,15.0,0,0.0,1
2018,473000,tempe,AZ,3.27,0,0,0,0,1,15.0,0,0.0,1
2019,473000,tempe,AZ,2.86,0,0,0,0,1,15.0,0,0.0,1
2020,473000,tempe,AZ,2.21,0,0,0,0,1,15.0,0,0.0,1
2021,473000,tempe,AZ,1.79,0,0,0,0,1,15.0,0,0.0,1
2022,473000,tempe,AZ,3.07,0,0,0,0,1,15.0,0,0.0,1
2023,473000,tempe,AZ,3.61,0,0,0,0,1,15.0,0,0.0,1
2013,477000,tucson,AZ,3.67,0,1,1,2,1,15.0,0,0.0,1
2014,477000,tucson,AZ,3.38,0,1,1,2,1,15.0,0,0.0,1
2015,477000,tucson,AZ,3.16,0,1,1,2,1,15.0,0,0.0,1
2016,477000,tucson,AZ,2.84,0,1,1,2,1,15.0,0,0.0,1
2017,477000,tucson,AZ,3.0,0,1,1,2,1,15.0,0,0.0,1
2018,477000,tucson,AZ,3.27,0,1,1,2,1,15.0,0,0.0,1
2019,477000,tucson,AZ,2.86,0,1,1,2,1,15.0,0,0.0,1
2020,477000,tucson,AZ,2.21,0,1,1,2,1,15.0,0,0.0,1
2021,477000,tucson,AZ,1.79,0,1,1,2,1,15.0,0,0.0,1
2022,477000,tucson,AZ,3.07,0,1,1,2,1,15.0,0,0.0,1
2023,477000,tucson,AZ,3.61,0,1,1,2,1,15.0,0,0.0,1
2013,485540,yuma,AZ,3.67,0,0,0,0,1,15.0,0,0.0,1
2014,485540,yuma,AZ,3.38,0,0,0,0,1,15.0,0,0.0,1
2015,485540,yuma,AZ,3.16,0,0,0,0,1,15.0,0,0.0,1
2016,485540,yuma,AZ,2.84,0,0,0,0,1,15.0,0,0.0,1
2017,485540,yuma,AZ,3.0,0,0,0,0,1,15.0,0,0.0,1
2018,485540,yuma,AZ,3.27,0,0,0,0,1,15.0,0,0.0,1
2019,485540,yuma,AZ,2.86,0,0,0,0,1,15.0,0,0.0,1
2020,485540,yuma,AZ,2.21,0,0,0,0,1,15.0,0,0.0,1
2021,485540,yuma,AZ,1.79,0,0,0,0,1,15.0,0,0.0,1
2022,485540,yuma,AZ,3.07,0,0,0,0,1,15.0,0,0.0,1
2023,485540,yuma,AZ,3.61,0,0,0,0,1,15.0,0,0.0,1
2013,523290,fayetteville,AR,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,523290,fayetteville,AR,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,523290,fayetteville,AR,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,523290,fayetteville,AR,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,523290,fayetteville,AR,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,523290,fayetteville,AR,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,523290,fayetteville,AR,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,523290,fayetteville,AR,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,523290,fayetteville,AR,1.79,0,0,0,0,0,0.0,0,0.0,0
